"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","1,967.21","1,964.69","2,080.95","1,907.93","2.01M","0.11%"
"02/01/2026","1,964.99","2,447.88","2,474.90","1,755.31","21.73M","-19.79%"
"01/01/2026","2,449.82","2,971.69","3,397.67","2,256.41","12.87M","-17.56%"
"12/01/2025","2,971.69","2,993.69","3,444.22","2,719.79","13.30M","-0.67%"
"11/01/2025","2,991.73","3,848.00","3,916.08","2,630.67","19.17M","-22.25%"
"10/01/2025","3,848.00","4,145.18","4,752.44","3,468.02","18.67M","-7.16%"
"09/01/2025","4,144.60","4,392.75","4,764.88","3,825.38","13.26M","-5.61%"
"08/01/2025","4,391.11","3,695.36","4,955.90","3,358.01","22.44M","18.73%"
"07/01/2025","3,698.46","2,485.48","3,940.69","2,381.67","22.34M","48.74%"
"06/01/2025","2,486.52","2,526.39","2,877.92","2,115.66","18.25M","-1.64%"
"05/01/2025","2,528.09","1,793.62","2,784.23","1,754.38","24.41M","40.95%"
"04/01/2025","1,793.58","1,822.41","1,953.57","1,388.12","22.24M","-1.56%"
"03/01/2025","1,821.95","2,233.88","2,546.39","1,766.97","19.12M","-18.53%"
"02/01/2025","2,236.41","3,298.69","3,331.28","2,078.68","21.58M","-32.20%"
"01/01/2025","3,298.69","3,337.80","3,742.07","2,943.61","15.81M","-1.17%"
"12/01/2024","3,337.80","3,702.96","4,102.90","3,103.72","18.50M","-9.86%"
"11/01/2024","3,702.97","2,519.14","3,733.47","2,362.91","19.80M","46.99%"
"10/01/2024","2,519.14","2,602.30","2,766.10","2,311.68","9.66M","-3.24%"
"09/01/2024","2,603.48","2,513.06","2,726.69","2,151.80","8.99M","3.58%"
"08/01/2024","2,513.56","3,231.81","3,242.07","2,166.31","13.99M","-22.22%"
"07/01/2024","3,231.84","3,437.84","3,559.66","2,822.44","9.44M","-5.99%"
"06/01/2024","3,437.84","3,762.63","3,885.15","3,245.76","8.25M","-8.63%"
"05/01/2024","3,762.66","3,014.38","3,976.00","2,819.19","12.26M","24.82%"
"04/01/2024","3,014.41","3,647.08","3,727.87","2,863.89","13.48M","-17.35%"
"03/01/2024","3,647.09","3,339.25","4,091.28","3,063.60","18.54M","9.22%"
"02/01/2024","3,339.26","2,283.14","3,520.80","2,240.79","13.12M","46.26%"
"01/01/2024","2,283.14","2,281.89","2,712.88","2,122.78","13.90M","0.05%"
"12/01/2023","2,281.90","2,051.59","2,443.59","2,045.39","12.55M","11.23%"
"11/01/2023","2,051.56","1,815.12","2,135.91","1,779.79","12.42M","13.03%"
"10/01/2023","1,815.13","1,670.92","1,864.81","1,523.78","8.89M","8.63%"
"09/01/2023","1,670.92","1,645.82","1,693.68","1,533.95","6.62M","1.53%"
"08/01/2023","1,645.82","1,856.17","1,879.32","1,560.88","7.81M","-11.33%"
"07/01/2023","1,856.17","1,933.80","2,025.56","1,827.35","7.58M","-4.01%"
"06/01/2023","1,933.80","1,873.62","1,943.65","1,632.50","10.54M","3.21%"
"05/01/2023","1,873.63","1,869.05","2,013.10","1,741.48","11.91M","0.25%"
"04/01/2023","1,868.88","1,821.62","2,137.56","1,764.26","15.06M","2.59%"
"03/01/2023","1,821.62","1,604.69","1,852.48","1,371.47","21.96M","13.52%"
"02/01/2023","1,604.69","1,585.27","1,738.87","1,464.10","14.07M","1.23%"
"01/01/2023","1,585.27","1,195.69","1,678.27","1,191.67","15.36M","32.58%"
"12/01/2022","1,195.67","1,294.40","1,348.43","1,152.54","11.56M","-7.63%"
"11/01/2022","1,294.41","1,572.89","1,666.17","1,076.29","25.72M","-17.70%"
"10/01/2022","1,572.89","1,328.73","1,660.13","1,196.63","18.77M","18.37%"
"09/01/2022","1,328.73","1,554.57","1,788.10","1,222.29","26.34M","-14.56%"
"08/01/2022","1,555.12","1,679.98","2,028.40","1,424.33","30.21M","-7.43%"
"07/01/2022","1,680.00","1,069.13","1,781.39","1,012.29","45.65M","57.15%"
"06/01/2022","1,069.05","1,941.81","1,971.22","883.35","48.62M","-44.95%"
"05/01/2022","1,941.79","2,727.20","2,963.54","1,708.62","30.39M","-28.80%"
"04/01/2022","2,727.18","3,282.33","3,579.82","2,716.31","16.66M","-16.91%"
"03/01/2022","3,282.35","2,922.44","3,481.23","2,447.74","18.38B","12.31%"
"02/01/2022","2,922.50","2,686.82","3,277.36","2,303.07","18.06M","8.77%"
"01/01/2022","2,686.82","3,677.69","3,889.07","2,161.55","19.15M","-26.95%"
"12/01/2021","3,677.85","4,628.72","4,778.14","3,533.02","18.28M","-20.55%"
"11/01/2021","4,628.90","4,287.41","4,864.06","3,917.43","17.12M","7.96%"
"10/01/2021","4,287.56","2,999.86","4,458.30","2,972.75","21.57M","42.89%"
"09/01/2021","3,000.59","3,429.65","4,024.89","2,659.71","30.69M","-12.54%"
"08/01/2021","3,430.74","2,530.94","3,467.42","2,445.49","26.43M","35.49%"
"07/01/2021","2,532.19","2,274.50","2,551.68","1,720.70","33.53M","11.36%"
"06/01/2021","2,273.84","2,707.94","2,889.19","1,707.24","51.29M","-16.05%"
"05/01/2021","2,708.47","2,772.27","4,366.10","1,739.91","81.40M","-2.32%"
"04/01/2021","2,772.78","1,918.82","2,797.61","1,897.38","61.47M","44.57%"
"03/01/2021","1,917.99","1,418.91","1,945.40","1,411.55","50.74M","35.19%"
"02/01/2021","1,418.76","1,312.69","2,040.79","1,272.09","53.76M","8.08%"
"01/01/2021","1,312.73","735.87","1,474.68","715.15","79.04M","78.37%"
"12/01/2020","735.94","616.78","757.11","530.88","300.29M","19.49%"
"11/01/2020","615.92","386.36","621.70","370.96","437.16M","59.39%"
"10/01/2020","386.42","359.50","420.12","334.11","209.52M","7.52%"
"09/01/2020","359.39","433.89","488.24","314.13","410.26M","-17.17%"
"08/01/2020","433.90","346.48","444.86","335.76","246.93M","25.22%"
"07/01/2020","346.51","225.61","349.34","223.53","237.53M","53.58%"
"06/01/2020","225.63","231.80","253.21","217.11","220.37M","-2.67%"
"05/01/2020","231.81","206.23","246.55","177.43","549.27M","12.41%"
"04/01/2020","206.22","132.88","227.05","128.93","752.88M","55.22%"
"03/01/2020","132.86","217.51","251.55","88.50","798.97M","-38.92%"
"02/01/2020","217.52","179.88","287.93","179.88","565.04M","20.91%"
"01/01/2020","179.91","129.21","186.76","126.05","412.79M","39.24%"
"12/01/2019","129.21","151.93","152.33","117.14","378.34M","-14.97%"
"11/01/2019","151.95","182.38","194.11","131.78","330.12M","-16.68%"
"10/01/2019","182.37","180.36","195.87","154.42","353.37M","1.12%"
"09/01/2019","180.35","171.62","223.35","153.17","294.65M","5.09%"
"08/01/2019","171.62","217.23","237.47","106.01","286.37M","-20.99%"
"07/01/2019","217.23","292.23","317.94","192.91","290.11M","-25.66%"
"06/01/2019","292.21","267.94","364.89","227.00","261.02M","9.04%"
"05/01/2019","267.99","161.84","287.99","158.85","420.62M","65.63%"
"04/01/2019","161.80","141.77","185.54","140.26","357.03M","14.11%"
"03/01/2019","141.79","135.47","168.42","123.25","363.75M","4.67%"
"02/01/2019","135.47","106.74","165.79","102.28","221.67M","26.95%"
"01/01/2019","106.71","131.90","159.78","101.60","131.93M","-19.10%"
