"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","84.013","84.541","90.092","81.727","23.34M","-0.39%"
"02/01/2026","84.341","105.388","106.424","68.043","193.92M","-20.06%"
"01/01/2026","105.508","124.578","148.326","98.101","138.00M","-15.31%"
"12/01/2025","124.586","133.646","146.778","117.123","145.50M","-6.66%"
"11/01/2025","133.470","187.258","188.982","121.922","184.57M","-28.70%"
"10/01/2025","187.189","209.099","237.633","172.704","207.61M","-10.29%"
"09/01/2025","208.663","200.373","253.379","190.919","181.01M","3.98%"
"08/01/2025","200.675","172.094","217.927","155.902","218.41M","16.52%"
"07/01/2025","172.228","154.979","206.164","144.953","177.63M","11.23%"
"06/01/2025","154.841","156.491","168.305","126.271","151.55M","-1.04%"
"05/01/2025","156.464","147.724","187.634","141.621","167.95M","6.03%"
"04/01/2025","147.560","124.459","156.495","95.534","227.57M","18.50%"
"03/01/2025","124.527","147.788","179.039","112.247","212.36M","-15.95%"
"02/01/2025","148.161","231.748","234.139","125.641","191.01M","-36.07%"
"01/01/2025","231.749","189.501","294.816","171.769","234.40M","22.30%"
"12/01/2024","189.485","237.603","246.912","175.989","178.11M","-20.25%"
"11/01/2024","237.600","168.763","264.248","155.188","209.47M","40.80%"
"10/01/2024","168.754","152.621","183.272","133.380","133.62M","10.56%"
"09/01/2024","152.630","135.342","161.705","120.927","123.01M","12.77%"
"08/01/2024","135.342","171.678","172.776","110.155","208.55M","-21.17%"
"07/01/2024","171.678","146.553","193.890","121.261","152.65M","17.14%"
"06/01/2024","146.560","165.580","175.565","123.337","121.30M","-11.49%"
"05/01/2024","165.580","126.737","188.752","119.180","169.95M","30.65%"
"04/01/2024","126.740","202.510","204.194","119.471","264.13M","-37.42%"
"03/01/2024","202.510","125.621","209.917","111.792","323.83M","61.25%"
"02/01/2024","125.588","97.040","134.492","93.143","179.85M","29.42%"
"01/01/2024","97.043","101.590","116.920","79.009","237.90M","-4.48%"
"12/01/2023","101.590","59.199","125.506","58.614","330.40M","71.61%"
"11/01/2023","59.199","38.401","68.076","37.926","347.45M","54.17%"
"10/01/2023","38.398","21.364","38.561","21.032","204.69M","79.73%"
"09/01/2023","21.364","19.737","21.762","17.396","98.97M","8.30%"
"08/01/2023","19.727","23.722","25.280","19.481","112.59M","-16.83%"
"07/01/2023","23.720","18.858","30.574","17.919","216.81M","25.78%"
"06/01/2023","18.858","20.820","22.290","13.330","161.10M","-9.43%"
"05/01/2023","20.823","22.739","23.224","18.798","110.72M","-8.43%"
"04/01/2023","22.739","21.165","25.960","19.900","157.26M","7.44%"
"03/01/2023","21.165","21.880","23.893","16.060","242.17M","-3.27%"
"02/01/2023","21.880","23.923","27.043","19.699","195.12M","-8.54%"
"01/01/2023","23.923","9.955","26.748","9.705","414.91M","140.30%"
"12/01/2022","9.955","14.144","14.936","8.085","186.69M","-29.68%"
"11/01/2022","14.157","32.564","38.729","10.960","350.53M","-56.54%"
"10/01/2022","32.571","33.246","34.494","26.864","100.71M","-2.02%"
"09/01/2022","33.243","31.507","38.916","30.110","127.28M","5.51%"
"08/01/2022","31.507","42.374","48.341","30.030","174.08M","-25.72%"
"07/01/2022","42.416","33.741","47.255","31.870","213.42M","25.68%"
"06/01/2022","33.749","45.722","46.097","25.966","289.25M","-26.18%"
"05/01/2022","45.718","84.772","95.139","37.342","1.07B","-46.06%"
"04/01/2022","84.757","122.856","143.488","81.888","3.14B","-31.05%"
"03/01/2022","122.919","99.705","129.547","77.774","5.68B","23.28%"
"02/01/2022","99.705","99.515","121.836","75.693","120.51M","0.08%"
"01/01/2022","99.627","169.985","179.496","80.919","115.16M","-41.39%"
"12/01/2021","169.985","208.486","243.069","148.384","102.88M","-18.44%"
"11/01/2021","208.423","202.565","259.861","181.285","110.44M","2.89%"
"10/01/2021","202.573","141.366","218.939","137.730","162.22M","43.30%"
"09/01/2021","141.360","152.549","174.974","116.135","162.07M","30.50%"
"08/01/2021","108.320","36.709","130.030","32.200","","195.08%"
"07/01/2021","36.709","35.536","37.904","22.230","","3.30%"
"06/01/2021","35.536","32.724","43.910","20.472","","13.64%"
"05/01/2021","31.272","42.967","56.083","31.272","6.16M","-26.57%"
"04/01/2021","42.586","19.437","48.360","18.612","","119.09%"
"03/01/2021","19.437","13.063","24.400","11.990","","48.80%"
"02/01/2021","13.063","4.268","20.000","4.128","","206.05%"
"01/01/2021","4.268","1.514","4.781","1.507","","181.90%"
"12/01/2020","1.514","1.967","2.210","1.139","","-23.01%"
"11/01/2020","1.967","1.545","2.510","1.298","","27.28%"
"10/01/2020","1.545","2.889","2.976","1.353","","-46.51%"
"09/01/2020","2.889","4.758","4.934","2.333","","-39.29%"
"08/01/2020","4.758","1.555","4.843","1.436","","205.94%"
