"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","1.0001","1.0009","1.0010","0.9999","693.72M","-0.06%"
"02/01/2026","1.0008","0.9992","1.0014","0.9982","7.95B","0.16%"
"01/01/2026","0.9992","0.9988","1.0005","0.9984","7.53B","0.04%"
"12/01/2025","0.9988","1.0001","1.0013","0.9986","6.47B","-0.13%"
"11/01/2025","1.0001","0.9998","1.0032","0.9990","9.80B","0.03%"
"10/01/2025","0.9998","1.0001","1.0098","0.9997","12.44B","-0.02%"
"09/01/2025","1.0000","1.0007","1.0020","0.9991","11.12B","-0.07%"
"08/01/2025","1.0007","1.0000","1.0013","0.9992","10.41B","0.07%"
"07/01/2025","1.0000","1.0006","1.0016","0.9989","13.32B","-0.04%"
"06/01/2025","1.0004","1.0004","1.0017","0.9994","9.57B","0.01%"
"05/01/2025","1.0003","1.0003","1.0039","0.9983","10.50B","0.00%"
"04/01/2025","1.0003","0.9999","1.0008","0.9989","15.53B","0.04%"
"03/01/2025","0.9999","1.0006","1.0016","0.9994","14.76B","-0.06%"
"02/01/2025","1.0005","0.9997","1.0019","0.9991","21.36B","0.07%"
"01/01/2025","0.9997","0.9984","1.0007","0.9980","21.99B","0.13%"
"12/01/2024","0.9984","1.0006","1.0024","0.9976","30.17B","-0.22%"
"11/01/2024","1.0006","0.9987","1.0024","0.9985","27.69B","0.19%"
"10/01/2024","0.9987","0.9999","1.0005","0.9971","13.32B","-0.12%"
"09/01/2024","0.9999","1.0007","1.0010","0.9995","9.21B","-0.07%"
"08/01/2024","1.0007","0.9998","1.0012","0.9988","12.81B","0.09%"
"07/01/2024","0.9998","0.9985","1.0010","0.9983","10.24B","0.13%"
"06/01/2024","0.9985","0.9990","1.0002","0.9974","10.28B","-0.06%"
"05/01/2024","0.9990","0.9993","1.0009","0.9986","8.54B","-0.03%"
"04/01/2024","0.9993","1.0006","1.0026","0.9987","9.00B","-0.12%"
"03/01/2024","1.0006","1.0004","1.0023","0.9968","8.59B","0.02%"
"02/01/2024","1.0004","0.9994","1.0015","0.9978","5.58B","0.09%"
"01/01/2024","0.9994","1.0001","1.0064","0.9984","5.75B","-0.06%"
"12/01/2023","1.0001","1.0001","1.0019","0.9991","5.36B","-0.01%"
"11/01/2023","1.0001","1.0004","1.0017","0.9996","4.61B","-0.02%"
"10/01/2023","1.0004","1.0003","1.0014","0.9998","3.55B","0.01%"
"09/01/2023","1.0003","1.0011","1.0018","0.9993","3.06B","0.01%"
"08/01/2023","1.0001","1.0000","1.0014","0.9986","3.48B","0.01%"
"07/01/2023","1.0000","1.0001","1.0015","0.9997","2.69B","0.00%"
"06/01/2023","1.0001","1.0002","1.0011","0.9964","2.95B","-0.01%"
"05/01/2023","1.0002","1.0004","1.0020","0.9995","2.22B","-0.03%"
"04/01/2023","1.0004","1.0001","1.0009","0.9990","2.97B","0.04%"
"03/01/2023","1.0001","1.0001","1.0317","0.9996","6.59B","-0.01%"
"02/01/2023","1.0001","1.0001","1.0025","0.9996","4.99B","0.00%"
"01/01/2023","1.0001","0.9999","1.0016","0.9992","4.49B","0.02%"
"12/01/2022","0.9999","1.0003","1.0014","0.9992","4.30B","-0.03%"
"11/01/2022","1.0003","1.0000","1.0014","0.9818","7.62B","0.02%"
"10/01/2022","1.0000","1.0002","1.0010","0.9998","3.25B","-0.01%"
"09/01/2022","1.0002","1.0000","1.0009","0.9997","3.44B","0.02%"
"08/01/2022","1.0000","1.0002","1.0007","0.9984","3.18B","-0.02%"
"07/01/2022","1.0002","0.9990","1.0007","0.9986","3.52B","0.12%"
"06/01/2022","0.9990","0.9994","1.0023","0.9974","5.84B","-0.03%"
"05/01/2022","0.9994","1.0003","1.0019","0.9744","7.64B","-0.09%"
"04/01/2022","1.0003","1.0003","1.0008","0.9998","4.17B","0.00%"
"03/01/2022","1.0003","1.0004","1.0011","0.9997","5.34B","0.00%"
"02/01/2022","1.0003","1.0005","1.0030","1.0003","3.94B","-0.02%"
"01/01/2022","1.0005","0.9999","1.0011","0.9997","4.73B","0.06%"
"12/01/2021","1.0000","1.0008","1.0021","0.9996","6.51B","-0.09%"
"11/01/2021","1.0009","1.0005","1.0014","0.9992","7.13B","0.04%"
"10/01/2021","1.0005","1.0002","1.0009","0.9994","6.32B","0.04%"
"09/01/2021","1.0001","1.0003","1.0024","0.9998","6.20B","-0.02%"
"08/01/2021","1.0003","0.9997","1.0009","0.9995","7.38B","0.02%"
