"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","960.15","1,016.20","1,019.58","942.19","1.52B","-6.51%"
"02/01/2026","1,027.02","990.62","1,031.79","979.33","1.41B","2.53%"
"01/01/2026","1,001.65","953.36","1,017.39","952.72","1.20B","5.29%"
"12/01/2025","951.29","940.67","953.74","929.60","1.07B","0.84%"
"11/01/2025","943.37","971.89","976.64","916.79","966.07M","-2.89%"
"10/01/2025","971.46","939.20","985.97","936.80","1.09B","3.04%"
"09/01/2025","942.78","896.49","943.45","883.89","1.03B","5.15%"
"08/01/2025","896.62","896.17","916.29","882.42","851.94M","-0.60%"
"07/01/2025","902.06","914.80","927.70","900.89","1.01B","-1.23%"
"06/01/2025","913.28","917.28","940.40","906.58","1.07B","-1.05%"
"05/01/2025","922.93","887.75","934.56","887.12","1.12B","5.13%"
"04/01/2025","877.89","904.16","907.72","784.66","1.45B","-2.33%"
"03/01/2025","898.80","924.82","933.21","887.38","1.43B","-2.51%"
"02/01/2025","921.92","908.29","952.45","908.29","1.20B","0.00%"
"01/01/2025","921.94","878.75","927.80","875.98","1.09B","4.93%"
"12/01/2024","878.63","880.54","899.19","866.70","889.76M","-0.35%"
"11/01/2024","881.73","876.95","897.11","853.65","1.02B","0.86%"
"10/01/2024","874.18","911.86","924.75","870.02","1.02B","-3.95%"
"09/01/2024","910.12","920.12","922.49","878.32","993.87M","-0.93%"
"08/01/2024","918.66","921.42","923.78","840.61","988.34M","-0.21%"
"07/01/2024","920.62","929.65","949.14","890.54","926.76M","-0.35%"
"06/01/2024","923.85","913.58","934.59","897.69","999.12M","2.24%"
"05/01/2024","903.61","873.54","918.85","873.51","1.19B","2.82%"
"04/01/2024","878.83","888.54","894.52","858.09","1.19B","-0.33%"
"03/01/2024","881.78","852.60","883.73","848.37","1.21B","3.93%"
"02/01/2024","848.44","817.63","861.63","816.83","1.38B","3.69%"
"01/01/2024","818.21","790.69","823.76","766.66","1.22B","3.99%"
"12/01/2023","786.82","767.45","798.09","767.44","1.10B","2.85%"
"11/01/2023","765.04","720.44","768.03","716.49","1.31B","6.46%"
"10/01/2023","718.60","730.65","744.93","711.69","1.15B","-1.40%"
"09/01/2023","728.79","744.54","754.76","715.62","1.19B","-1.99%"
"08/01/2023","743.62","790.17","792.13","729.61","1.28B","-6.11%"
"07/01/2023","792.00","777.10","795.20","747.66","1.10B","2.33%"
"06/01/2023","773.94","754.41","776.29","750.74","1.26B","3.35%"
"05/01/2023","748.86","758.74","771.74","735.91","1.42B","-1.27%"
"04/01/2023","758.49","758.91","769.14","745.26","1.16B","0.31%"
"03/01/2023","756.18","756.20","763.41","710.89","1.98B","0.43%"
"02/01/2023","752.93","747.15","777.58","745.18","1.35B","1.04%"
"01/01/2023","745.19","697.11","755.55","694.63","1.32B","8.15%"
"12/01/2022","689.01","731.73","741.09","688.24","1.34B","-4.85%"
"11/01/2022","724.10","675.28","726.46","654.83","1.67B","7.97%"
"10/01/2022","670.62","633.48","673.18","611.74","1.55B","4.68%"
"09/01/2022","640.62","674.96","703.39","627.35","1.69B","-5.83%"
"08/01/2022","680.31","728.68","736.34","680.31","1.55B","-6.74%"
"07/01/2022","729.44","651.22","732.58","643.60","1.61B","10.65%"
"06/01/2022","659.23","714.87","716.13","632.02","1.73B","-7.53%"
"05/01/2022","712.88","702.52","719.00","662.22","1.77B","0.27%"
"04/01/2022","710.98","725.99","743.05","687.74","1.54B","-1.83%"
"03/01/2022","724.20","728.52","739.27","652.80","2.65B","-0.76%"
"02/01/2022","729.72","761.91","772.23","699.99","1.97B","-3.37%"
