"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","182,354","188,786","190,110","182,182","9.09B","-3.41%"
"02/01/2026","188,787","181,369","192,624","180,269","181.65B","4.09%"
"01/01/2026","181,364","161,124","186,450","160,059","206.86B","12.56%"
"12/01/2025","161,125","159,073","165,036","155,188","168.50B","1.29%"
"11/01/2025","159,072","149,551","159,689","149,551","165.36B","6.37%"
"10/01/2025","149,540","146,237","149,636","140,231","169.75B","2.26%"
"09/01/2025","146,237","141,423","147,578","139,582","173.15B","3.40%"
"08/01/2025","141,422","132,920","142,379","132,140","172.09B","6.28%"
"07/01/2025","133,071","138,855","141,564","131,550","163.56B","-4.17%"
"06/01/2025","138,855","137,026","139,988","134,119","169.15B","1.33%"
"05/01/2025","137,027","135,067","140,382","132,872","238.19B","1.45%"
"04/01/2025","135,067","130,267","136,150","122,887","236.36B","3.69%"
"03/01/2025","130,260","122,799","133,904","122,530","200.41B","6.08%"
"02/01/2025","122,799","126,135","129,534","122,659","228.66B","-2.64%"
"01/01/2025","126,135","120,283","127,532","118,223","206.79B","4.86%"
"12/01/2024","120,283","125,668","130,899","120,158","224.86B","-4.28%"
"11/01/2024","125,668","129,718","131,319","123,946","210.47B","-3.12%"
"10/01/2024","129,713","131,817","134,922","128,589","192.21B","-1.60%"
"09/01/2024","131,816","136,004","136,838","130,100","183.30B","-3.08%"
"08/01/2024","136,004","127,652","137,469","123,073","215.66M","6.54%"
"07/01/2024","127,652","123,905","129,658","123,735","170.96M","3.02%"
"06/01/2024","123,907","122,100","124,500","118,685","169.09M","1.48%"
"05/01/2024","122,098","125,926","129,745","121,929","218.58M","-3.04%"
"04/01/2024","125,924","128,106","129,956","123,397","231.49M","-1.70%"
"03/01/2024","128,106","129,026","129,716","125,802","198.09M","-0.71%"
"02/01/2024","129,020","127,752","131,696","126,443","203.81M","0.99%"
"01/01/2024","127,752","134,186","134,195","125,876","210.77M","-4.79%"
"12/01/2023","134,185","127,331","134,392","125,562","196.82M","5.38%"
"11/01/2023","127,331","113,157","127,399","113,157","271.85M","12.54%"
"10/01/2023","113,144","116,565","117,099","111,599","231.91M","-2.93%"
"09/01/2023","116,565","115,744","119,780","113,366","215.82M","0.71%"
"08/01/2023","115,742","121,945","122,619","114,067","262.47M","-5.09%"
"07/01/2023","121,943","118,092","123,010","115,704","201.70M","3.27%"
"06/01/2023","118,087","108,339","120,519","108,335","262.94M","9.00%"
"05/01/2023","108,335","104,431","111,706","101,063","288.76M","3.74%"
"04/01/2023","104,432","101,883","108,277","99,898","218.34M","2.50%"
"03/01/2023","101,882","104,933","106,724","96,997","327.02M","-2.91%"
"02/01/2023","104,932","113,430","113,598","104,932","228.72M","-7.49%"
"01/01/2023","113,431","109,734","114,835","103,852","295.58M","3.37%"
"12/01/2022","109,735","112,479","113,761","101,632","307.11M","-2.45%"
"11/01/2022","112,486","116,037","120,039","107,245","339.63M","-3.06%"
"10/01/2022","116,037","110,048","120,752","110,048","301.26M","5.45%"
"09/01/2022","110,037","109,524","114,392","106,244","288.74M","0.47%"
"08/01/2022","109,523","103,165","114,375","101,694","297.13M","6.16%"
"07/01/2022","103,165","98,542","103,989","95,267","230.77M","4.69%"
"06/01/2022","98,542","111,351","112,709","97,758","243.63M","-11.50%"
"05/01/2022","111,351","107,876","112,690","102,386","276.34M","3.22%"
"04/01/2022","107,876","120,001","121,628","107,876","213.67M","-10.10%"
"03/01/2022","119,999","113,143","120,900","107,781","279.09M","6.06%"
"02/01/2022","113,142","112,143","115,734","109,125","235.49M","0.89%"
"01/01/2022","112,144","104,823","113,057","100,850","258.10M","6.99%"
"12/01/2021","104,822","101,916","109,493","100,727","234.06M","2.85%"
"11/01/2021","101,915","103,514","108,669","100,075","236.34M","-1.53%"
"10/01/2021","103,501","110,980","114,927","102,854","243.86M","-6.74%"
"09/01/2021","110,979","118,793","119,942","107,520","231.61M","-6.57%"
"08/01/2021","118,781","121,803","124,536","114,801","201.79M","-2.48%"
"07/01/2021","121,801","126,802","129,620","121,748","161.31M","-3.94%"
"06/01/2021","126,802","126,218","131,190","126,184","197.83M","0.46%"
"05/01/2021","126,216","118,951","126,216","117,631","184.24M","6.16%"
"04/01/2021","118,894","116,644","121,974","114,991","167.26M","1.94%"
"03/01/2021","116,634","110,036","117,249","107,319","246.48M","6.00%"
"02/01/2021","110,035","115,093","121,117","109,827","190.63M","-4.37%"
