"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","6,556.12","6,536.65","6,947.75","6,536.65","","0.30%"
"02/01/2026","6,536.65","5,847.38","6,948.53","5,847.38","","81.64%"
"01/01/2026","3,598.71","3,368.39","3,633.51","3,368.39","","72.83%"
"12/01/2025","2,082.26","1,969.02","2,093.17","1,817.21","","34.19%"
"11/01/2025","1,551.78","1,564.09","1,572.25","1,534.65","","-4.20%"
"10/01/2025","1,619.77","1,600.42","1,658.53","1,598.21","","49.66%"
"09/01/2025","1,082.32","1,086.40","1,098.92","1,081.66","","31.48%"
"08/01/2025","823.17","821.65","834.58","805.60","","55.87%"
"07/01/2025","528.11","528.36","542.52","526.30","","-99.86%"
"06/01/2025","373,071.88","370,150.69","374,375.31","367,682.19","","19.99%"
"05/01/2025","310,922.03","311,932.56","314,918.91","309,678.94","","29.84%"
"04/01/2025","239,462.69","238,148.59","241,470.73","235,550.67","","3.61%"
"03/01/2025","231,124.73","192,855.91","249,298.14","180,407.70","","19.84%"
"02/01/2025","192,855.91","128,619.08","197,096.77","128,619.08","","32.43%"
"01/01/2025","145,633.28","132,415.52","147,224.69","131,445.80","","21.99%"
"12/01/2024","119,380.66","107,147.55","121,210.97","101,634.87","","11.42%"
"11/01/2024","107,147.55","99,607.73","110,389.55","97,829.99","","7.57%"
"10/01/2024","99,607.73","91,804.92","100,294.55","88,101.93","","8.50%"
"09/01/2024","91,804.92","91,532.07","99,916.66","91,532.07","","0.30%"
"08/01/2024","91,532.07","90,190.74","95,464.04","86,351.71","","1.49%"
"07/01/2024","90,190.74","78,695.20","92,337.51","78,658.20","","14.61%"
"06/01/2024","78,695.20","69,210.19","78,695.20","69,210.19","","13.70%"
"05/01/2024","69,210.19","62,033.81","69,648.17","61,972.38","","10.36%"
"04/01/2024","62,713.43","55,619.96","66,922.11","54,783.74","","12.75%"
"03/01/2024","55,619.96","49,444.03","57,205.05","47,210.16","","12.49%"
"02/01/2024","49,444.03","53,529.95","54,778.59","48,887.99","","-7.63%"
"01/01/2024","53,529.95","56,366.66","59,001.19","53,121.60","","-7.44%"
"12/01/2023","57,832.46","57,827.33","59,266.14","53,247.72","","0.01%"
"11/01/2023","57,827.33","58,800.50","62,290.49","55,488.14","","-1.66%"
"10/01/2023","58,800.50","42,832.71","63,736.91","42,623.36","","37.28%"
"09/01/2023","42,832.71","38,542.94","42,838.35","38,216.38","","11.13%"
"08/01/2023","38,542.94","35,783.35","38,705.46","34,580.75","","7.71%"
"07/01/2023","35,783.35","35,414.36","37,734.98","33,747.14","","1.04%"
"06/01/2023","35,414.36","33,362.96","35,599.97","32,751.97","","6.15%"
"05/01/2023","33,362.96","30,682.11","34,769.98","30,682.11","","8.74%"
"04/01/2023","30,682.11","29,025.46","30,791.88","28,028.59","","5.71%"
"03/01/2023","29,025.46","29,202.38","30,420.54","28,068.31","","-0.61%"
"02/01/2023","29,202.38","24,716.59","29,683.37","24,494.52","","18.15%"
"01/01/2023","24,716.59","20,947.68","24,716.59","19,380.32","","17.99%"
"12/01/2022","20,947.68","14,696.26","21,110.48","14,696.26","","42.54%"
"11/01/2022","14,696.26","9,101.52","14,696.26","8,762.00","","61.47%"
"10/01/2022","9,101.52","8,680.79","9,465.90","8,425.09","","4.85%"
"09/01/2022","8,680.79","9,319.51","9,351.21","8,447.60","","-6.85%"
"08/01/2022","9,319.51","7,381.94","9,782.85","7,099.79","","26.25%"
"07/01/2022","7,381.94","6,614.90","7,705.28","6,479.71","","11.60%"
"06/01/2022","6,614.90","6,097.49","6,877.40","6,050.70","","8.49%"
"05/01/2022","6,097.49","5,675.67","6,402.26","5,555.84","","7.43%"
"04/01/2022","5,675.67","5,190.34","6,039.71","5,181.63","","9.35%"
"03/01/2022","5,190.34","5,268.51","5,320.66","5,042.11","","-1.48%"
"02/01/2022","5,268.47","5,668.88","5,680.42","5,264.82","","-7.06%"
"01/01/2022","5,668.88","5,918.68","5,975.56","5,485.37","","-4.22%"
"12/01/2021","5,918.68","6,453.56","6,515.45","5,527.17","","-8.29%"
"11/01/2021","6,453.56","5,531.78","6,492.84","5,531.73","","16.66%"
"10/01/2021","5,531.73","6,219.18","6,247.56","5,353.07","","-11.05%"
"09/01/2021","6,219.13","6,613.67","6,669.73","5,607.52","","-5.97%"
"08/01/2021","6,613.67","5,733.86","7,015.96","5,668.42","","15.34%"
"07/01/2021","5,733.86","5,137.84","5,962.58","4,848.05","","11.60%"
"06/01/2021","5,137.84","5,262.08","5,262.08","4,718.65","","-2.36%"
"05/01/2021","5,262.08","4,691.34","5,910.25","4,667.24","","12.17%"
"04/01/2021","4,691.34","2,822.10","4,790.25","2,797.03","","65.33%"
"03/01/2021","2,837.63","2,300.78","2,844.08","2,292.04","","23.33%"
"02/01/2021","2,300.78","1,924.35","2,319.47","1,829.03","","19.56%"
"01/01/2021","1,924.35","1,332.06","2,017.49","1,332.06","","44.46%"
"12/01/2020","1,332.06","1,273.56","1,401.39","1,171.86","","4.59%"
"11/01/2020","1,273.55","580.09","1,274.04","568.06","","119.54%"
"10/01/2020","580.09","538.85","584.68","537.99","","7.65%"
"09/01/2020","538.85","522.59","539.18","500.02","","3.11%"
"08/01/2020","522.59","374.21","526.40","374.21","","39.65%"
"07/01/2020","374.21","321.06","374.86","301.09","","16.55%"
"06/01/2020","321.06","324.24","349.74","310.30","","-0.98%"
"05/01/2020","324.24","289.32","340.50","286.55","","12.07%"
"04/01/2020","289.32","105.62","300.10","105.57","","173.94%"
"03/01/2020","105.62","108.77","108.77","86.10","","-2.90%"
"02/01/2020","108.77","129.54","130.82","106.72","","-16.03%"
"01/01/2020","129.54","90.22","129.90","89.85","","43.58%"
"12/01/2019","90.22","69.89","90.51","60.17","","29.09%"
"11/01/2019","69.89","47.77","69.97","47.33","","46.31%"
"10/01/2019","47.77","48.86","52.87","44.88","","-2.22%"
"09/01/2019","48.86","55.58","66.46","47.16","","-12.10%"
"08/01/2019","55.58","25.79","55.58","25.79","","115.53%"
"07/01/2019","25.79","18.45","26.15","18.20","","39.75%"
"06/01/2019","18.45","15.79","18.56","13.34","","16.86%"
"05/01/2019","15.79","17.78","17.96","14.07","","-11.16%"
"04/01/2019","17.78","8.57","18.25","8.18","","107.47%"
"03/01/2019","8.57","10.52","10.80","7.95","","-18.53%"
"02/01/2019","10.52","5.44","11.10","4.61","","93.43%"
"01/01/2019","5.44","1.61","6.35","1.60","","238.68%"
