"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","7,724.94","8,404.95","8,461.75","7,505.27","1.60B","-9.97%"
"02/01/2026","8,580.75","8,084.91","8,642.23","8,080.66","1.45B","5.59%"
"01/01/2026","8,126.53","8,127.27","8,396.72","7,996.59","1.18B","-0.28%"
"12/01/2025","8,149.50","8,078.40","8,184.03","8,005.11","1.05B","0.33%"
"11/01/2025","8,122.71","8,118.84","8,314.23","7,875.87","1.13B","0.02%"
"10/01/2025","8,121.07","7,894.29","8,271.48","7,825.97","1.38B","2.85%"
"09/01/2025","7,895.94","7,724.96","7,935.31","7,648.13","1.24B","2.49%"
"08/01/2025","7,703.90","7,676.39","8,004.34","7,523.61","1.12B","-0.88%"
"07/01/2025","7,771.97","7,674.54","7,940.62","7,612.39","1.28B","1.38%"
"06/01/2025","7,665.91","7,714.91","7,848.09","7,505.27","1.33B","-1.11%"
"05/01/2025","7,751.89","7,710.08","7,955.53","7,613.20","1.35B","2.08%"
"04/01/2025","7,593.87","7,837.45","7,884.35","6,763.76","1.93B","-2.53%"
"03/01/2025","7,790.71","8,139.13","8,257.88","7,753.74","1.86B","-3.96%"
"02/01/2025","8,111.63","7,786.32","8,225.13","7,785.87","1.67B","2.03%"
"01/01/2025","7,950.17","7,374.59","7,996.41","7,270.57","1.54B","7.72%"
"12/01/2024","7,380.74","7,147.37","7,511.02","7,146.02","1.47B","2.01%"
"11/01/2024","7,235.11","7,364.08","7,572.14","7,091.15","1.44B","-1.57%"
"10/01/2024","7,350.37","7,623.33","7,654.58","7,315.97","1.39B","-3.74%"
"09/01/2024","7,635.75","7,628.86","7,804.64","7,341.93","1.30B","0.06%"
"08/01/2024","7,630.95","7,478.14","7,693.82","7,029.91","1.15B","1.32%"
"07/01/2024","7,531.49","7,673.48","7,746.06","7,341.25","1.34B","0.70%"
"06/01/2024","7,479.40","8,069.62","8,072.31","7,456.47","1.59B","-6.42%"
"05/01/2024","7,992.87","7,954.01","8,259.19","7,908.63","1.23B","0.10%"
"04/01/2024","7,984.93","8,195.65","8,253.05","7,899.36","1.30B","-2.69%"
"03/01/2024","8,205.81","7,950.66","8,253.59","7,900.48","1.17B","3.51%"
"02/01/2024","7,927.43","7,590.15","7,977.68","7,558.23","1.29B","3.54%"
"01/01/2024","7,656.75","7,577.33","7,702.95","7,281.10","1.13B","1.51%"
"12/01/2023","7,543.18","7,336.55","7,653.99","7,313.19","1.02B","3.18%"
"11/01/2023","7,310.77","6,914.32","7,321.47","6,873.55","1.21B","6.17%"
"10/01/2023","6,885.65","7,164.05","7,197.00","6,773.82","1.32B","-3.50%"
"09/01/2023","7,135.06","7,310.68","7,435.36","7,033.83","1.22B","-2.48%"
"08/01/2023","7,316.70","7,478.10","7,499.53","7,092.72","1.12B","-2.42%"
"07/01/2023","7,497.78","7,415.17","7,526.05","7,052.77","1.10B","1.32%"
"06/01/2023","7,400.06","7,139.39","7,419.36","7,090.46","1.38B","4.25%"
"05/01/2023","7,098.70","7,466.82","7,523.56","7,083.60","1.53B","-5.24%"
"04/01/2023","7,491.50","7,341.69","7,581.26","7,300.33","1.28B","2.31%"
"03/01/2023","7,322.39","7,279.34","7,401.15","6,796.21","2.18B","0.75%"
