"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","22,751.16","24,695.44","24,897.61","21,863.81","1.50B","-10.02%"
"02/01/2026","25,284.26","24,392.09","25,405.97","24,272.62","1.33B","3.04%"
"01/01/2026","24,538.81","24,499.51","25,507.79","24,266.33","1.22B","0.20%"
"12/01/2025","24,490.41","23,731.29","24,527.94","23,433.48","946.93M","2.74%"
"11/01/2025","23,836.79","23,990.34","24,441.28","22,943.06","1.14B","-0.51%"
"10/01/2025","23,958.30","23,755.23","24,771.34","23,684.37","1.11B","0.32%"
"09/01/2025","23,880.72","24,012.04","24,046.85","23,284.67","1.21B","-0.09%"
"08/01/2025","23,902.21","23,786.91","24,536.11","23,380.94","1.07B","-0.68%"
"07/01/2025","24,065.47","23,966.95","24,639.10","23,620.42","1.21B","0.65%"
"06/01/2025","23,909.61","23,865.38","24,479.42","23,051.55","1.26B","-0.37%"
"05/01/2025","23,997.48","22,818.18","24,325.97","22,764.51","1.43B","6.67%"
"04/01/2025","22,496.98","22,343.41","22,607.32","18,489.91","1.98B","1.50%"
"03/01/2025","22,163.49","22,682.95","23,476.01","21,978.46","1.95B","-1.72%"
"02/01/2025","22,551.43","21,301.53","22,935.06","21,252.71","1.44B","3.77%"
"01/01/2025","21,732.05","19,923.07","21,800.52","19,833.82","1.42B","9.16%"
"12/01/2024","19,909.14","19,586.17","20,522.82","19,568.50","1.11B","1.44%"
"11/01/2024","19,626.45","19,093.99","19,640.15","18,812.53","1.42B","2.88%"
"10/01/2024","19,077.54","19,409.39","19,674.68","18,911.72","1.22B","-1.28%"
"09/01/2024","19,324.93","18,913.53","19,491.93","18,208.84","1.39B","2.21%"
"08/01/2024","18,906.92","18,404.95","18,971.75","17,021.65","95.58M","2.15%"
"07/01/2024","18,508.65","18,419.75","18,781.45","18,023.45","62.45M","1.50%"
"06/01/2024","18,235.45","18,658.85","18,786.35","17,949.85","64.59M","-1.42%"
"05/01/2024","18,497.94","17,919.75","18,890.05","17,874.85","144.01M","3.16%"
"04/01/2024","17,932.17","18,119.93","18,153.69","17,920.72","88.21M","-3.03%"
"03/01/2024","18,492.49","17,795.15","18,514.65","17,619.45","75.72M","4.61%"
"02/01/2024","17,678.19","16,834.13","17,742.48","16,821.60","1.47B","4.58%"
"01/01/2024","16,903.76","16,828.75","16,999.58","16,345.02","1.47B","0.91%"
"12/01/2023","16,751.64","16,296.92","17,003.28","16,279.45","1.32B","3.31%"
"11/01/2023","16,215.43","14,851.96","16,262.96","14,786.32","1.62B","9.49%"
"10/01/2023","14,810.34","15,439.96","15,575.28","14,630.21","1.51B","-3.75%"
"09/01/2023","15,386.58","15,936.34","15,989.30","15,138.66","1.48B","-3.51%"
"08/01/2023","15,947.08","16,414.79","16,430.66","15,468.65","1.35B","-3.04%"
"07/01/2023","16,446.83","16,187.91","16,528.97","15,456.16","1.34B","1.85%"
"06/01/2023","16,147.90","15,744.01","16,427.42","15,713.70","1.66B","3.09%"
"05/01/2023","15,664.02","15,950.36","16,331.94","15,629.12","1.52B","-1.62%"
"04/01/2023","15,922.38","15,623.45","15,922.38","15,482.88","1.23B","1.88%"
"03/01/2023","15,628.84","15,399.91","15,706.37","14,458.39","2.33B","1.72%"
"02/01/2023","15,365.14","15,125.12","15,658.56","15,107.83","1.32B","1.57%"
"01/01/2023","15,128.27","13,992.71","15,269.71","13,976.44","1.26B","8.65%"
"12/01/2022","13,923.59","14,543.80","14,675.84","13,791.52","1.13B","-3.29%"
"11/01/2022","14,397.04","13,344.85","14,571.66","13,022.64","1.46B","8.63%"
"10/01/2022","13,253.74","11,951.84","13,307.09","11,893.94","1.40B","9.41%"
"09/01/2022","12,114.36","12,713.75","13,564.83","11,862.84","1.61B","-5.61%"
"08/01/2022","12,834.96","13,471.20","13,947.85","12,758.44","1.31B","-4.81%"
"07/01/2022","13,484.05","12,627.66","13,515.03","12,390.95","1.52B","5.48%"
"06/01/2022","12,783.77","14,478.37","14,709.38","12,618.68","1.72B","-11.15%"
"05/01/2022","14,388.35","13,996.82","14,589.45","13,380.67","1.80B","2.06%"
"04/01/2022","14,097.88","14,447.78","14,603.44","13,566.20","1.65B","-2.20%"
"03/01/2022","14,414.75","14,404.22","14,925.25","12,438.85","2.77B","-0.32%"
"02/01/2022","14,461.02","15,620.56","15,736.52","13,807.28","2.03B","-6.53%"
"01/01/2022","15,471.20","15,947.44","16,285.35","14,952.67","1.66B","-2.60%"
"12/01/2021","15,884.86","15,233.37","15,974.79","15,060.10","1.35B","5.20%"
"11/01/2021","15,100.13","15,764.55","16,290.19","15,015.42","1.64B","-3.75%"
"10/01/2021","15,688.77","15,041.60","15,781.00","14,818.71","1.35B","2.81%"
"09/01/2021","15,260.69","15,958.41","15,981.70","15,019.49","1.34B","-3.63%"
"08/01/2021","15,835.09","15,631.70","16,030.33","15,492.58","1.03B","1.87%"
"07/01/2021","15,544.39","15,624.28","15,810.68","15,048.56","1.21B","0.09%"
