"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2026","10,453.88","10,281.76","10,755.36","10,269.90","7.07B","1.67%"
"01/01/2026","10,281.76","9,992.72","10,414.09","9,919.63","5.64B","2.89%"
"12/01/2025","9,992.72","9,747.17","10,063.16","9,747.17","7.15B","2.52%"
"11/01/2025","9,747.17","10,099.90","10,115.25","9,686.98","6.51B","-3.49%"
"10/01/2025","10,099.90","10,014.60","10,242.52","10,004.46","5.46B","0.85%"
"09/01/2025","10,014.60","10,094.67","10,155.27","9,927.06","3.89B","-0.79%"
"08/01/2025","10,094.67","10,370.66","10,382.19","10,094.67","4.11B","-2.66%"
"07/01/2025","10,370.66","9,957.52","10,382.44","9,902.21","7.43B","4.15%"
"06/01/2025","9,957.52","9,685.10","9,959.43","9,389.07","5.57B","2.81%"
"05/01/2025","9,685.10","9,534.33","9,763.46","9,529.56","5.80B","1.58%"
"04/01/2025","9,534.33","9,368.81","9,570.40","8,771.73","7.03B","1.77%"
"03/01/2025","9,368.81","9,564.62","9,594.66","9,204.64","6.05B","-2.05%"
"02/01/2025","9,564.62","9,586.12","9,671.44","9,524.20","9.13B","-0.22%"
"01/01/2025","9,586.12","9,419.00","9,610.38","9,322.02","2.15B","1.77%"
"12/01/2024","9,419.00","9,234.80","9,457.34","9,234.80","1.07B","1.99%"
"11/01/2024","9,234.80","9,327.92","9,476.68","9,231.65","6.21B","-1.00%"
"10/01/2024","9,327.92","9,425.49","9,436.97","9,114.93","6.35B","-1.04%"
"09/01/2024","9,425.49","9,284.93","9,516.31","9,267.09","5.03B","1.51%"
"08/01/2024","9,284.93","9,338.96","9,397.25","8,972.69","4.10B","-0.58%"
"07/01/2024","9,338.96","9,060.73","9,427.85","9,025.98","5.03B","3.07%"
"06/01/2024","9,060.73","8,862.58","9,071.21","8,820.51","3.07B","2.24%"
"05/01/2024","8,862.58","9,067.42","9,177.26","8,709.10","5.53B","-2.26%"
"04/01/2024","9,067.42","9,228.09","9,279.12","9,037.74","3.50B","-1.74%"
"03/01/2024","9,228.09","9,254.81","9,813.60","9,188.28","3.92B","-0.29%"
"02/01/2024","9,254.81","9,508.32","9,520.17","9,224.51","4.79B","-2.67%"
"01/01/2024","9,508.32","9,577.85","9,858.04","9,506.45","4.82B","-0.73%"
"12/01/2023","9,577.85","9,559.57","9,577.85","9,367.04","4.38B","0.19%"
"11/01/2023","9,559.57","9,343.88","9,607.09","9,242.34","3.53B","2.31%"
"10/01/2023","9,343.88","9,785.32","9,858.57","9,219.64","2.74B","-4.51%"
"09/01/2023","9,785.32","9,810.21","9,880.46","9,600.62","2.56B","-0.25%"
"08/01/2023","9,810.21","9,787.13","10,051.61","9,575.72","4.11B","0.24%"
"07/01/2023","9,787.13","9,550.40","9,787.13","9,521.35","3.66B","2.48%"
"06/01/2023","9,550.40","9,406.57","9,585.32","9,334.96","2.15B","1.53%"
"05/01/2023","9,406.57","9,789.17","9,801.75","9,389.69","4.02B","-3.91%"
"04/01/2023","9,789.17","9,430.25","9,819.85","9,430.25","978.80M","3.81%"
"03/01/2023","9,430.25","9,844.81","10,084.68","9,409.03","","-4.21%"
"02/01/2023","9,844.81","9,811.56","10,029.29","9,792.67","","0.34%"
"01/01/2023","9,811.56","10,211.09","10,315.72","9,407.56","","-3.91%"
"12/01/2022","10,211.09","10,552.37","10,552.37","10,018.40","","-3.23%"
"11/01/2022","10,552.37","10,412.25","10,671.32","10,327.94","","1.35%"
"10/01/2022","10,412.25","9,750.82","10,412.25","9,695.86","","6.78%"
"09/01/2022","9,750.82","9,874.51","10,277.90","9,624.01","","-1.25%"
"08/01/2022","9,874.51","9,697.02","10,308.71","9,678.29","","2.18%"
"07/01/2022","9,663.47","9,374.70","9,698.73","9,155.96","","3.08%"
"06/01/2022","9,374.70","10,054.87","10,061.90","9,219.00","","-6.76%"
"05/01/2022","10,054.87","10,080.87","10,161.09","9,220.86","","-0.26%"
"04/01/2022","10,081.35","9,948.78","10,171.79","9,883.89","","1.33%"
"03/01/2022","9,948.78","9,319.40","9,948.78","9,255.23","","6.75%"
"02/01/2022","9,319.40","8,704.26","9,339.41","8,624.16","","7.07%"
"01/01/2022","8,704.26","8,487.90","8,778.50","8,236.89","965.50M","2.54%"
"12/01/2021","8,488.36","8,546.47","9,076.96","8,358.04","5.02B","-0.68%"
"11/01/2021","8,546.52","7,866.53","8,560.69","7,854.20","6.86B","8.66%"
"10/01/2021","7,865.12","7,700.19","7,966.58","7,643.64","4.76B","2.16%"
"09/01/2021","7,698.82","7,685.07","7,890.32","7,580.38","4.23B","0.18%"
"08/01/2021","7,684.62","7,318.90","7,730.99","7,318.90","4.87B","5.01%"
"07/01/2021","7,318.18","6,835.43","7,318.18","6,835.43","3.16B","7.06%"
"06/01/2021","6,835.43","6,563.95","6,835.63","6,551.12","4.11B","4.22%"
"05/01/2021","6,558.71","6,046.74","6,649.41","6,044.10","4.44B","8.47%"
