"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","24,951.88","26,305.58","26,403.85","24,203.54","76.51B","-6.30%"
"02/01/2026","26,630.54","27,097.34","27,397.65","26,295.03","45.90B","-2.76%"
"01/01/2026","27,387.11","25,717.42","28,056.10","25,717.42","72.36B","6.85%"
"12/01/2025","25,630.54","25,945.87","26,264.13","25,086.54","53.90B","-0.88%"
"11/01/2025","25,858.89","25,999.17","27,188.81","25,178.63","60.48B","-0.18%"
"10/01/2025","25,906.65","26,918.30","27,381.84","25,145.34","63.43B","-3.53%"
"09/01/2025","26,855.56","25,508.21","27,058.03","25,013.26","78.39B","7.09%"
"08/01/2025","25,077.62","24,744.34","25,918.86","24,372.51","68.97B","1.23%"
"07/01/2025","24,773.33","24,304.31","25,735.89","23,690.94","78.67B","2.91%"
"06/01/2025","24,072.28","23,043.10","24,533.39","22,668.35","79.22B","3.36%"
"05/01/2025","23,289.77","22,192.51","23,917.00","22,058.30","66.94B","5.29%"
"04/01/2025","22,119.41","23,217.11","23,456.58","19,260.21","90.82B","-4.33%"
"03/01/2025","23,119.58","23,135.12","24,874.39","22,547.53","83.15B","0.78%"
"02/01/2025","22,941.32","20,048.87","24,076.53","19,764.67","93.96B","13.43%"
"01/01/2025","20,225.11","19,932.80","20,337.46","18,671.49","52.39B","0.82%"
"12/01/2024","20,059.95","19,442.31","21,070.05","19,386.82","56.35B","3.28%"
"11/01/2024","19,423.61","20,427.88","21,355.44","19,054.40","65.23B","-4.40%"
"10/01/2024","20,317.33","21,289.60","23,241.74","19,977.35","99.21B","-3.86%"
"09/01/2024","21,133.68","17,862.59","21,488.75","16,964.28","77.84B","17.48%"
"08/01/2024","17,989.07","17,304.96","18,202.60","16,647.34","4.75B","3.72%"
"07/01/2024","17,344.60","17,669.42","18,317.31","16,924.58","56.52B","-2.11%"
"06/01/2024","17,718.61","18,283.56","18,724.62","17,583.19","54.37B","-2.00%"
"05/01/2024","18,079.61","17,760.68","19,706.12","17,740.62","74.52B","1.78%"
"04/01/2024","17,763.03","16,811.74","18,031.16","16,044.45","60.56B","7.39%"
"03/01/2024","16,541.42","16,390.89","17,214.67","16,095.68","56.13B","0.18%"
"02/01/2024","16,511.44","15,522.86","16,895.82","15,336.86","44.78B","6.63%"
"01/01/2024","15,485.07","17,135.12","17,135.12","14,794.16","53.71B","-9.16%"
"12/01/2023","17,047.39","17,019.17","17,095.12","15,972.31","40.46B","0.03%"
"11/01/2023","17,042.88","17,139.40","18,174.69","16,863.05","42.52B","-0.41%"
"10/01/2023","17,112.48","17,546.39","18,290.91","16,879.66","40.12B","-3.91%"
"09/01/2023","17,809.66","18,592.53","18,899.49","17,352.83","39.87B","-3.11%"
"08/01/2023","18,382.06","20,211.20","20,331.28","17,573.70","68.00B","-8.45%"
"07/01/2023","20,078.94","19,002.55","20,361.03","18,279.73","49.94B","6.15%"
"06/01/2023","18,916.43","18,190.27","20,155.92","18,190.27","47.04B","3.74%"
"05/01/2023","18,234.27","20,122.90","20,321.74","18,044.86","53.30B","-8.35%"
"04/01/2023","19,894.57","20,379.50","20,864.74","19,520.97","40.64B","-2.48%"
"03/01/2023","20,400.11","19,849.97","21,005.66","18,829.11","62.86B","3.10%"
"02/01/2023","19,785.94","21,920.80","22,311.96","19,783.07","40.31B","-9.41%"
"01/01/2023","21,842.33","19,570.43","22,700.85","19,303.73","46.99B","10.42%"
"12/01/2022","19,781.41","19,058.90","20,099.77","18,530.82","57.62B","6.37%"
"11/01/2022","18,597.23","14,859.92","18,645.35","14,859.92","75.23B","26.62%"
"10/01/2022","14,687.02","17,050.25","18,164.20","14,597.31","45.82B","-14.72%"
"09/01/2022","17,222.83","19,761.72","19,839.51","17,016.28","42.07B","-13.69%"
"08/01/2022","19,954.39","20,026.60","20,283.59","19,189.54","40.16B","-1.00%"
"07/01/2022","20,156.51","21,690.68","22,198.51","20,050.05","37.73B","-7.79%"
"06/01/2022","21,859.79","21,407.79","22,449.31","20,697.17","51.40B","2.08%"
"05/01/2022","21,415.20","20,927.62","21,415.20","19,178.89","42.72B","1.54%"
"04/01/2022","21,089.39","21,693.10","22,523.64","19,665.49","39.46B","-4.13%"
"03/01/2022","21,996.85","22,739.84","22,937.56","18,235.48","71.31B","-3.15%"
"02/01/2022","22,713.02","24,392.86","25,050.59","22,406.12","36.90B","-4.58%"
"01/01/2022","23,802.26","23,510.54","24,982.03","22,709.60","41.54B","1.73%"
"12/01/2021","23,397.67","23,595.57","24,385.44","22,665.25","35.48B","-0.33%"
"11/01/2021","23,475.26","25,268.35","25,746.71","23,175.37","36.87B","-7.49%"
"10/01/2021","25,377.24","24,478.68","26,234.94","23,681.44","33.22B","3.26%"
"09/01/2021","24,575.64","25,871.82","26,560.04","23,771.46","47.17B","-5.04%"
"08/01/2021","25,878.99","26,054.81","26,822.47","24,581.60","42.63B","-0.32%"
"07/01/2021","25,961.03","28,859.02","28,859.02","24,748.84","49.24B","-9.94%"
"06/01/2021","28,827.95","29,159.06","29,490.61","28,216.09","45.38B","-1.11%"
"05/01/2021","29,151.80","28,659.91","29,336.13","27,715.88","44.19B","1.49%"
"04/01/2021","28,724.88","28,594.55","29,405.12","28,274.27","39.15B","1.22%"
"03/01/2021","28,378.35","29,457.89","29,912.00","27,505.08","67.91B","-2.08%"
"02/01/2021","28,980.21","28,457.85","31,183.36","28,382.26","52.62B","2.46%"
"01/01/2021","28,283.71","27,087.13","30,191.16","27,079.24","73.42B","3.87%"
"12/01/2020","27,231.13","26,422.71","27,340.99","25,998.87","54.55B","3.38%"
"11/01/2020","26,341.49","24,274.83","27,040.41","24,232.66","56.23B","9.27%"
"10/01/2020","24,107.42","24,039.39","24,970.59","23,674.52","37.83B","2.76%"
"09/01/2020","23,459.05","25,085.67","25,254.14","23,124.25","38.64B","-6.82%"
"08/01/2020","25,177.05","24,566.81","25,847.11","24,167.79","35.26B","2.37%"
"07/01/2020","24,595.35","24,563.57","26,782.62","24,526.91","48.70B","0.69%"
"06/01/2020","24,427.19","23,539.91","25,303.78","23,539.91","40.11B","6.38%"
"05/01/2020","22,961.47","23,895.11","24,766.83","22,519.73","37.13B","-6.83%"
"04/01/2020","24,643.59","23,365.90","24,855.47","22,756.13","36.25B","4.41%"
"03/01/2020","23,603.48","26,077.73","26,805.58","21,139.26","74.17B","-9.67%"
"02/01/2020","26,129.93","26,189.61","28,055.58","25,989.41","38.62B","-0.69%"
"01/01/2020","26,312.63","28,249.37","29,174.92","26,295.49","32.70B","-6.66%"
"12/01/2019","28,189.75","26,475.34","28,418.65","25,995.15","28.39B","7.00%"
"11/01/2019","26,346.49","26,806.44","27,900.80","26,203.97","31.94B","-2.08%"
"10/01/2019","26,906.72","25,901.47","27,027.56","25,521.95","31.53B","3.12%"
"09/01/2019","26,092.27","25,627.83","27,366.45","25,498.11","34.93B","1.43%"
"08/01/2019","25,724.73","27,582.21","27,754.04","24,899.93","42.32B","-7.39%"
"07/01/2019","27,777.75","28,904.04","29,007.98","27,701.44","26.63B","-2.68%"
"06/01/2019","28,542.62","26,909.71","28,634.48","26,671.90","34.51B","6.10%"
"05/01/2019","26,901.09","29,643.05","30,081.55","26,850.27","46.11B","-9.42%"
"04/01/2019","29,699.11","29,383.72","30,280.12","29,383.72","36.53B","2.23%"
"03/01/2019","29,051.36","28,716.60","29,486.15","28,201.09","40.14B","1.46%"
"02/01/2019","28,633.18","28,193.28","29,014.19","27,534.20","32.39B","2.47%"
"01/01/2019","27,942.47","25,824.44","28,010.90","24,896.87","39.77B","8.11%"
