"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","1,136.64","1,169.82","1,215.67","976.54","20.39B","-4.71%"
"02/01/2026","1,192.78","1,128.57","1,201.89","1,048.28","22.95B","3.77%"
"01/01/2026","1,149.44","930.35","1,180.87","930.35","25.91B","24.20%"
"12/01/2025","925.47","920.69","943.19","895.19","18.16B","1.40%"
"11/01/2025","912.67","906.19","932.15","850.09","16.79B","1.36%"
"10/01/2025","900.42","846.32","906.71","839.27","16.33B","6.94%"
"09/01/2025","841.99","795.30","877.56","782.54","21.55B","5.66%"
"08/01/2025","796.91","796.24","820.27","766.57","16.63B","-1.03%"
"07/01/2025","805.24","783.65","827.82","769.91","21.30B","3.04%"
"06/01/2025","781.50","735.14","803.93","733.97","20.25B","6.42%"
"05/01/2025","734.35","716.60","739.05","710.47","18.11B","2.39%"
"04/01/2025","717.24","681.58","732.80","637.55","21.45B","6.60%"
"03/01/2025","672.85","739.68","750.43","671.91","14.63B","-9.56%"
"02/01/2025","743.96","718.26","781.54","700.57","18.35B","2.15%"
"01/01/2025","728.29","678.98","733.91","675.96","16.22B","7.39%"
"12/01/2024","678.19","684.15","701.67","627.01","16.91B","0.00%"
"11/01/2024","678.19","735.67","761.01","668.38","18.38B","-8.73%"
"10/01/2024","743.06","757.30","784.03","725.27","17.57B","-2.73%"
"09/01/2024","763.88","769.85","780.91","693.86","16.90B","-0.49%"
"08/01/2024","767.66","807.52","815.28","672.57","20.04B","-4.42%"
"07/01/2024","803.15","840.59","864.11","794.23","18.95B","-4.44%"
"06/01/2024","840.44","840.33","879.52","836.12","16.57B","0.05%"
"05/01/2024","839.98","865.78","876.94","829.81","20.43B","-3.33%"
"04/01/2024","868.93","909.62","920.05","824.99","19.02B","-4.04%"
"03/01/2024","905.50","869.36","922.57","859.71","21.86B","4.93%"
"02/01/2024","862.96","796.26","875.58","786.28","22.79B","7.97%"
"01/01/2024","799.24","866.08","890.06","799.24","26.67B","-7.77%"
"12/01/2023","866.57","826.30","867.33","810.52","19.84B","4.20%"
"11/01/2023","831.68","742.98","847.37","737.52","18.77B","12.98%"
"10/01/2023","736.10","832.30","835.79","734.20","16.88B","-12.48%"
"09/01/2023","841.02","926.37","928.00","821.71","19.97B","-9.41%"
"08/01/2023","928.40","944.71","952.12","863.32","25.73B","-0.81%"
"07/01/2023","935.97","873.91","956.40","857.35","20.76B","7.80%"
"06/01/2023","868.24","855.95","899.85","853.68","24.11B","1.32%"
"05/01/2023","856.94","845.18","861.30","806.47","25.40B","1.67%"
"04/01/2023","842.83","850.86","913.97","823.19","31.81B","-0.55%"
"03/01/2023","847.52","793.63","852.59","758.05","26.30B","7.06%"
"02/01/2023","791.60","744.90","793.65","744.03","23.35B","6.90%"
"01/01/2023","740.49","683.84","746.33","660.32","20.99B","9.01%"
"12/01/2022","679.29","740.97","744.56","675.80","20.22B","-6.89%"
"11/01/2022","729.54","695.45","746.62","683.74","20.24B","4.92%"
"10/01/2022","695.33","685.19","707.59","650.39","18.24B","3.37%"
"09/01/2022","672.65","800.74","801.02","661.65","16.85B","-16.65%"
"08/01/2022","807.04","804.15","836.49","775.33","18.57B","0.43%"
"07/01/2022","803.62","748.20","807.77","712.53","17.27B","7.80%"
"06/01/2022","745.44","890.47","899.01","714.38","21.83B","-16.56%"
"05/01/2022","893.36","894.03","912.67","831.59","23.87B","-1.26%"
"04/01/2022","904.75","940.49","953.06","888.97","27.49B","-4.21%"
"03/01/2022","944.53","880.62","944.92","864.69","26.34B","7.20%"
"02/01/2022","881.07","887.85","914.92","837.83","19.10B","0.94%"
"01/01/2022","872.87","1,038.97","1,041.29","835.55","24.35B","-15.58%"
"12/01/2021","1,033.98","969.90","1,034.87","949.86","25.25B","7.08%"
"11/01/2021","965.63","995.56","1,045.36","960.84","26.59B","-2.69%"
"10/01/2021","992.33","998.70","1,013.17","922.36","24.95B","-1.09%"
"09/01/2021","1,003.27","1,038.09","1,056.30","989.07","24.52B","-3.38%"
"08/01/2021","1,038.33","1,033.17","1,062.03","964.02","27.01B","0.70%"
"07/01/2021","1,031.14","1,030.48","1,060.21","1,013.91","35.92B","0.11%"
"06/01/2021","1,029.96","982.25","1,030.94","977.74","38.26B","4.91%"
"05/01/2021","981.78","982.97","993.06","944.15","29.32B","-0.17%"
"04/01/2021","983.45","956.87","1,032.64","954.93","55.49B","2.85%"
"03/01/2021","956.17","919.17","962.65","877.73","53.84B","4.62%"
"02/01/2021","913.94","927.92","987.89","904.18","52.41B","-1.59%"
"01/01/2021","928.73","968.86","1,007.52","918.68","41.83B","-4.10%"
"12/01/2020","968.42","889.53","971.04","883.24","43.37B","9.29%"
"11/01/2020","886.11","796.46","891.53","789.85","41.80B","11.79%"
"10/01/2020","792.65","848.67","878.15","766.96","36.61B","-6.54%"
"09/01/2020","848.15","850.58","905.56","799.53","42.82B","-0.01%"
"08/01/2020","848.24","820.41","863.80","781.41","34.87B","4.04%"
"07/01/2020","815.30","743.53","818.70","726.36","31.62B","10.48%"
"06/01/2020","737.97","716.96","766.96","693.15","30.96B","3.40%"
"05/01/2020","713.68","637.00","730.41","635.16","31.03B","10.62%"
"04/01/2020","645.18","568.88","651.39","542.75","35.19B","13.37%"
"03/01/2020","569.07","617.88","650.81","419.55","30.57B","-6.82%"
"02/01/2020","610.73","631.82","692.64","608.38","25.67B","-4.94%"
"01/01/2020","642.48","672.53","691.17","637.43","20.15B","-4.08%"
"12/01/2019","669.83","635.58","669.83","613.77","16.77B","5.82%"
"11/01/2019","632.99","658.16","673.86","629.74","21.65B","-3.88%"
"10/01/2019","658.52","623.70","662.27","619.53","18.65B","5.91%"
"09/01/2019","621.76","609.46","651.45","608.97","15.23B","1.84%"
"08/01/2019","610.55","627.94","634.44","540.83","16.02B","-3.11%"
"07/01/2019","630.18","696.38","699.44","610.70","18.13B","-8.74%"
"06/01/2019","690.53","693.26","730.86","687.29","16.26B","-0.85%"
"05/01/2019","696.47","753.51","762.72","684.07","17.27B","-7.72%"
"04/01/2019","754.74","731.50","770.66","729.74","18.55B","3.49%"
"03/01/2019","729.31","739.19","762.41","714.53","15.57B","-0.27%"
"02/01/2019","731.25","719.08","755.92","714.66","13.73B","2.01%"
"01/01/2019","716.86","682.16","721.58","648.95","15.02B","6.10%"
