"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2026","196,621.94","192,826.78","196,683.83","192,790.11","1.67B","1.97%"
"01/02/2026","192,826.75","165,366.47","197,327.55","165,086.45","21.41B","16.60%"
"01/01/2026","165,370.38","155,612.89","167,118.06","155,553.88","15.10B","6.27%"
"01/12/2025","155,613.03","143,520.53","155,625.89","143,097.95","19.72B","8.43%"
"01/11/2025","143,520.52","154,126.45","154,339.06","141,020.95","11.60B","-6.88%"
"01/10/2025","154,126.44","142,713.06","156,024.16","142,653.45","12.23B","8.00%"
"01/09/2025","142,710.45","140,295.50","142,822.72","138,030.70","13.64B","1.72%"
"01/08/2025","140,295.47","139,863.52","146,600.02","139,740.14","24.71B","0.31%"
"01/07/2025","139,863.52","119,980.37","139,944.52","119,697.68","22.17B","16.57%"
"01/06/2025","119,978.57","111,742.01","121,264.18","111,650.79","13.85B","7.37%"
"01/05/2025","111,742.01","105,920.18","112,237.26","105,551.89","12.65B","5.62%"
"01/04/2025","105,800.85","105,660.64","106,466.88","103,597.15","8.28B","0.12%"
"01/03/2025","105,670.36","107,821.39","107,955.09","104,717.87","11.04B","-1.99%"
"01/02/2025","107,821.39","104,496.12","109,850.83","104,463.49","9.22B","3.18%"
"01/01/2025","104,496.12","102,928.57","105,556.71","100,860.52","12.68B","1.53%"
"01/12/2024","102,926.40","97,506.87","103,242.01","97,466.79","10.80B","5.56%"
"01/11/2024","97,506.87","97,650.66","98,249.39","96,404.07","10.81B","-0.15%"
"01/10/2024","97,651.23","98,552.84","99,583.14","96,684.90","8.39B","-0.92%"
"01/09/2024","98,558.79","96,579.54","99,175.85","96,068.36","10.06B","2.05%"
"01/08/2024","96,580.01","97,774.22","99,015.62","94,563.21","10.62B","-1.22%"
"01/07/2024","97,774.22","100,057.49","100,612.86","97,708.77","12.93B","-2.28%"
"01/06/2024","100,057.49","99,312.95","100,119.76","98,893.55","","0.76%"
"01/05/2024","99,300.62","98,224.53","100,437.71","96,961.25","","1.09%"
"01/04/2024","98,225.63","104,566.20","104,791.48","97,734.56","","-6.06%"
"01/03/2024","104,562.06","99,980.30","105,187.74","98,376.48","7.05B","4.58%"
"01/02/2024","99,980.30","101,032.60","106,087.84","98,939.56","8.73B","-1.16%"
"01/01/2024","101,154.46","74,773.98","105,005.75","74,747.64","19.29B","35.28%"
"01/12/2023","74,773.85","71,365.27","74,850.26","70,741.96","8.32B","4.78%"
"01/11/2023","71,365.25","69,242.66","71,566.58","69,222.13","","3.08%"
"01/10/2023","69,236.19","66,382.14","69,264.12","66,210.45","","4.30%"
"01/09/2023","66,382.14","66,548.99","68,495.83","65,865.33","","-0.25%"
"01/08/2023","66,548.99","64,337.30","66,649.93","63,773.76","","3.44%"
"01/07/2023","64,337.52","60,991.12","66,017.94","60,705.92","","5.53%"
"01/06/2023","60,968.27","55,769.91","60,968.82","55,361.68","","9.32%"
"01/05/2023","55,769.28","52,406.88","55,800.21","52,044.02","","6.42%"
"01/04/2023","52,403.51","54,232.34","54,236.59","51,019.11","","-4.47%"
"01/03/2023","54,857.96","55,806.26","55,985.47","53,124.16","","-1.70%"
"01/02/2023","55,806.26","53,238.67","55,819.41","53,234.31","","4.82%"
"01/01/2023","53,238.67","51,251.06","53,299.54","50,830.51","","3.88%"
"01/12/2022","51,251.06","47,660.04","51,346.08","47,537.87","","7.53%"
"01/11/2022","47,660.04","43,835.94","47,662.71","43,393.20","","8.72%"
"01/10/2022","43,839.08","49,035.07","49,038.76","43,650.20","","-10.58%"
"01/09/2022","49,024.16","49,836.51","50,084.83","48,945.43","","-1.63%"
"01/08/2022","49,836.51","50,370.25","50,740.18","48,511.58","","-1.06%"
"01/07/2022","50,370.25","51,817.59","52,542.93","49,603.12","","-2.79%"
"01/06/2022","51,817.59","52,990.28","53,276.66","50,532.29","","-3.39%"
"01/05/2022","53,637.14","49,640.30","54,290.84","49,636.44","","8.05%"
"01/04/2022","49,638.94","46,963.75","49,638.94","46,524.68","","5.69%"
"01/03/2022","46,965.48","47,394.53","47,613.70","46,754.39","","-0.91%"
"01/02/2022","47,394.53","46,630.13","47,394.53","46,626.42","","1.65%"
"01/01/2022","46,624.67","42,716.44","46,905.63","42,479.57","","9.15%"
"01/12/2021","42,716.44","43,248.05","43,248.30","41,527.21","","-1.23%"
"01/11/2021","43,248.05","42,038.60","44,068.70","41,930.73","","2.88%"
"01/10/2021","42,038.60","40,221.17","42,054.18","40,221.17","","4.52%"
"01/09/2021","40,221.17","39,220.18","40,221.17","38,511.97","","2.55%"
"01/08/2021","39,219.61","38,547.08","39,678.04","38,532.78","","1.74%"
"01/07/2021","38,547.08","37,907.43","38,882.79","37,805.95","","1.69%"
"01/06/2021","37,907.28","38,437.88","39,262.71","37,555.30","","-1.38%"
"01/05/2021","38,437.88","39,834.42","39,875.66","37,563.79","","-3.52%"
"01/04/2021","39,840.28","39,053.44","39,840.28","38,540.66","","2.04%"
"01/03/2021","39,045.13","39,799.89","39,984.05","38,309.63","","-1.90%"
"01/02/2021","39,799.89","42,412.66","42,472.56","39,792.23","","-6.16%"
"01/01/2021","42,412.66","40,287.71","42,444.22","39,724.26","","5.32%"
"01/12/2020","40,270.72","35,048.15","40,279.29","34,145.13","","14.92%"
"01/11/2020","35,042.14","30,527.69","35,814.18","30,364.15","","14.78%"
"01/10/2020","30,530.69","26,831.76","30,530.69","26,830.59","","13.76%"
"01/09/2020","26,837.42","25,327.13","26,862.21","25,327.13","","5.96%"
"01/08/2020","25,327.13","24,710.93","25,334.11","24,690.75","","2.57%"
"01/07/2020","24,693.73","24,479.16","24,800.81","23,961.14","","0.88%"
"01/06/2020","24,479.16","25,267.82","25,458.53","24,448.23","","-3.12%"
"01/05/2020","25,267.82","23,021.01","25,469.93","22,940.24","","9.76%"
"01/04/2020","23,021.01","21,309.50","23,143.34","20,651.59","","8.08%"
"01/03/2020","21,300.47","26,143.02","26,626.07","21,270.26","","-18.75%"
"01/02/2020","26,216.46","28,843.53","28,843.53","26,216.46","","-9.11%"
"01/01/2020","28,843.53","26,845.79","29,909.06","26,657.32","","7.46%"
"01/12/2019","26,842.07","26,999.69","27,357.84","26,018.13","","-0.59%"
"01/11/2019","27,002.15","26,355.35","27,109.29","26,143.12","","2.45%"
"01/10/2019","26,355.35","27,630.56","27,645.40","26,113.88","","-4.62%"
"01/09/2019","27,630.56","27,540.42","27,984.08","26,895.56","","0.38%"
"01/08/2019","27,525.81","27,718.26","27,851.37","26,789.38","","-0.69%"
"01/07/2019","27,718.26","29,966.87","29,966.88","27,679.02","","-7.50%"
"01/06/2019","29,966.87","31,069.37","31,100.03","29,224.23","","-3.55%"
"01/05/2019","31,069.37","29,159.74","31,917.13","28,019.97","","6.55%"
"01/04/2019","29,159.74","31,041.42","31,041.42","28,780.02","","-6.06%"
"01/03/2019","31,041.42","31,718.70","32,252.89","30,770.60","","-2.14%"
"01/02/2019","31,718.70","30,557.20","32,958.96","30,521.42","","3.80%"
"01/01/2019","30,557.20","31,429.34","31,457.07","29,329.62","","-2.78%"
