"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","56,279.05","57,976.20","58,365.21","56,091.54","","-4.37%"
"02/01/2026","58,850.27","53,575.37","59,332.43","52,655.18","","10.37%"
"01/01/2026","53,322.85","51,010.28","54,487.32","50,995.67","","5.93%"
"12/01/2025","50,339.48","50,318.59","51,127.69","48,643.78","","0.17%"
"11/01/2025","50,253.91","52,294.31","52,636.87","48,235.30","","-4.12%"
"10/01/2025","52,411.34","44,831.95","52,411.34","44,357.65","","16.64%"
"09/01/2025","44,932.63","42,362.71","45,852.75","41,835.17","","5.18%"
"08/01/2025","42,718.47","41,029.84","43,876.42","39,850.52","","4.01%"
"07/01/2025","41,069.82","40,340.64","42,065.83","39,288.90","","1.44%"
"06/01/2025","40,487.39","37,651.18","40,852.54","37,320.72","","6.64%"
"05/01/2025","37,965.10","36,197.04","38,494.06","36,040.05","","5.33%"
"04/01/2025","36,045.38","35,961.19","36,075.26","30,792.74","","1.20%"
"03/01/2025","35,617.56","37,617.50","38,220.69","35,541.72","","-4.14%"
"02/01/2025","37,155.50","38,932.66","39,581.47","36,840.12","","-6.11%"
"01/01/2025","39,572.49","39,945.42","40,288.80","38,055.68","","-0.81%"
"12/01/2024","39,894.54","38,216.95","40,398.23","37,958.55","","4.41%"
"11/01/2024","38,208.03","38,504.35","39,884.01","37,801.62","","-2.23%"
"10/01/2024","39,081.25","38,232.47","40,257.34","37,651.07","","3.06%"
"09/01/2024","37,919.55","39,025.31","39,829.56","35,247.87","","-1.88%"
"08/01/2024","38,647.75","38,781.56","38,781.56","31,156.12","","-1.16%"
"07/01/2024","39,101.82","39,839.82","42,426.77","37,611.19","","-1.22%"
"06/01/2024","39,583.08","38,734.95","39,788.63","37,950.20","","2.85%"
"05/01/2024","38,487.90","38,107.38","39,437.16","37,617.00","","0.21%"
"04/01/2024","38,405.66","40,277.45","40,697.22","36,733.06","","-4.86%"
"03/01/2024","40,369.44","39,254.69","41,087.75","38,271.38","","3.07%"
"02/01/2024","39,166.19","36,008.56","39,426.29","35,854.63","","7.94%"
"01/01/2024","36,286.71","33,193.05","36,984.51","32,693.18","","8.43%"
"12/01/2023","33,464.17","33,537.44","33,824.06","32,205.38","","-0.07%"
"11/01/2023","33,486.89","31,311.22","33,853.46","31,301.51","","8.52%"
