"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","6,445.38","6,461.94","6,500.18","6,421.44","249.94K","-2.51%"
"02/01/2026","6,611.24","6,339.37","6,673.61","6,284.46","2.17M","4.46%"
"01/01/2026","6,328.97","6,066.40","6,494.10","6,063.50","2.42M","4.56%"
"12/01/2025","6,052.92","6,052.50","6,112.20","5,881.72","1.90M","0.51%"
"11/01/2025","6,022.24","5,801.34","6,066.18","5,584.35","2.34M","1.56%"
"10/01/2025","5,929.68","5,951.85","6,141.87","5,895.02","1.80M","-0.40%"
"09/01/2025","5,953.46","6,170.68","6,287.38","5,905.35","2.15M","-3.28%"
"08/01/2025","6,155.57","6,257.29","6,412.43","6,137.09","2.34M","-1.55%"
"07/01/2025","6,252.73","6,393.66","6,547.80","6,222.04","2.86M","-1.76%"
"06/01/2025","6,364.94","6,350.37","6,448.02","6,204.04","3.82M","0.37%"
"05/01/2025","6,341.53","6,373.97","6,591.94","6,269.09","3.49M","-0.21%"
"04/01/2025","6,354.99","6,197.22","6,375.45","5,804.56","2.15M","2.82%"
"03/01/2025","6,180.72","6,045.57","6,360.77","6,000.54","2.35M","3.05%"
"02/01/2025","5,997.97","5,986.65","6,282.07","5,883.04","2.51M","2.31%"
"01/01/2025","5,862.59","6,527.84","6,661.13","5,862.59","2.19M","-10.20%"
"12/01/2024","6,528.79","6,625.70","6,771.92","6,337.83","1.54M","-1.29%"
"11/01/2024","6,613.85","7,150.56","7,262.24","6,557.09","1.78M","-7.41%"
"10/01/2024","7,142.96","7,278.15","7,604.61","7,142.96","1.79M","-1.78%"
"09/01/2024","7,272.65","6,927.25","7,474.44","6,759.93","2.01M","5.44%"
"08/01/2024","6,897.54","6,645.10","7,016.04","6,397.10","2.31M","4.21%"
"07/01/2024","6,619.09","6,401.96","6,832.66","6,348.06","1.92M","3.23%"
"06/01/2024","6,411.91","6,433.54","6,532.93","6,158.48","1.53M","-0.33%"
"05/01/2024","6,433.10","6,654.97","6,719.19","6,341.54","2.86M","-3.99%"
"04/01/2024","6,700.49","6,948.54","7,070.72","6,404.97","1.79M","-2.94%"
"03/01/2024","6,903.53","6,931.32","7,021.04","6,790.96","2.07M","-0.59%"
"02/01/2024","6,944.71","6,623.94","6,990.65","6,601.34","1.77M","4.49%"
"01/01/2024","6,646.44","6,478.52","6,722.32","6,464.34","1.77M","3.04%"
"12/01/2023","6,450.04","6,230.87","6,566.41","6,167.21","1.97M","3.64%"
"11/01/2023","6,223.73","6,039.38","6,329.42","5,989.27","1.42M","4.18%"
"10/01/2023","5,973.78","6,334.00","6,339.29","5,920.47","1.81M","-5.50%"
"09/01/2023","6,321.24","6,215.55","6,412.94","5,998.31","4.10M","2.36%"
"08/01/2023","6,175.25","6,627.56","6,641.92","6,142.15","2.36M","-6.31%"
"07/01/2023","6,591.47","6,459.53","6,698.41","6,375.26","1.74M","1.91%"
"06/01/2023","6,468.07","6,502.76","6,564.70","6,374.07","2.38M","-0.14%"
"05/01/2023","6,477.36","6,624.95","6,750.06","6,469.91","2.90M","-2.23%"
"04/01/2023","6,625.08","6,524.31","6,635.40","6,394.10","1.56M","1.93%"
"03/01/2023","6,499.68","6,602.96","6,739.50","6,330.53","2.71M","-0.86%"
"02/01/2023","6,556.20","6,814.52","7,035.76","6,537.52","4.29M","-3.49%"
"01/01/2023","6,793.25","6,555.40","7,137.62","6,550.17","3.77M","3.45%"
"12/01/2022","6,566.39","6,814.14","6,814.14","6,360.97","2.62M","-3.16%"
"11/01/2022","6,780.78","6,258.91","6,780.78","6,083.50","3.49M","10.20%"
"10/01/2022","6,153.43","5,734.34","6,230.58","5,699.30","1.90M","7.18%"
"09/01/2022","5,741.07","6,594.67","6,721.41","5,741.07","2.84M","-12.80%"
"08/01/2022","6,583.65","6,309.07","6,883.60","6,227.33","3.21M","4.24%"
"07/01/2022","6,315.93","6,174.37","6,497.97","6,127.26","2.20M","2.61%"
"06/01/2022","6,155.43","6,786.92","6,797.55","6,054.79","2.89M","-9.14%"
"05/01/2022","6,774.68","6,742.83","6,881.59","6,379.17","4.20M","0.65%"
"04/01/2022","6,731.25","7,160.48","7,163.21","6,731.25","1.77M","-6.56%"
"03/01/2022","7,203.47","7,322.38","7,404.61","6,638.40","3.34M","-1.47%"
"02/01/2022","7,311.01","7,380.14","7,552.20","7,175.82","3.21M","-0.69%"
"01/01/2022","7,361.65","7,101.64","7,369.94","6,966.85","2.20M","3.36%"
"12/01/2021","7,122.63","7,194.09","7,334.56","6,928.30","2.86M","-1.09%"
"11/01/2021","7,200.88","7,159.66","7,475.75","7,000.00","3.45M","2.07%"
"10/01/2021","7,054.70","6,964.49","7,326.10","6,906.86","3.95M","1.46%"
"09/01/2021","6,952.88","6,829.58","7,033.06","6,771.76","3.60M","1.42%"
"08/01/2021","6,855.44","6,304.03","6,855.44","6,293.66","3.04M","9.33%"
"07/01/2021","6,270.23","6,949.98","7,064.24","6,270.23","2.46M","-9.15%"
"06/01/2021","6,901.91","6,619.02","7,001.21","6,576.64","2.74M","4.12%"
"05/01/2021","6,628.49","6,392.97","6,688.07","6,080.94","4.05M","4.04%"
"04/01/2021","6,370.87","6,447.40","6,651.71","6,348.56","2.22M","-1.12%"
"03/01/2021","6,443.09","6,828.70","6,942.76","6,325.64","2.21M","-5.18%"
"02/01/2021","6,794.86","6,634.59","7,159.11","6,634.59","1.87M","2.76%"
"01/01/2021","6,612.62","7,149.64","7,432.40","6,612.62","2.19M","-7.38%"
"12/01/2020","7,139.71","6,740.30","7,311.21","6,740.30","2.81M","5.13%"
"11/01/2020","6,791.46","6,282.89","7,263.71","6,250.87","4.44M","7.39%"
"10/01/2020","6,324.00","5,881.90","6,517.26","5,825.48","3.60M","7.84%"
"09/01/2020","5,864.23","5,922.06","6,034.03","5,695.78","2.33M","-0.34%"
"08/01/2020","5,884.18","5,816.23","6,167.13","5,691.74","3.03M","-0.75%"
"07/01/2020","5,928.45","6,223.54","6,398.79","5,799.11","2.77M","-4.50%"
"06/01/2020","6,207.72","5,791.32","6,583.84","5,750.00","4.65M","6.32%"
"05/01/2020","5,838.84","5,601.39","5,838.84","5,396.13","3.01M","2.42%"
"04/01/2020","5,700.71","5,321.79","5,946.05","5,247.57","3.25M","7.13%"
"03/01/2020","5,321.23","6,759.37","6,941.20","4,039.15","5.21M","-21.61%"
"02/01/2020","6,787.91","7,206.22","7,510.84","6,769.97","2.66M","-5.73%"
"01/01/2020","7,200.79","7,721.26","7,890.94","7,200.79","2.93M","-7.86%"
"12/01/2019","7,815.26","7,769.26","7,892.29","7,469.41","3.66M","0.99%"
"11/01/2019","7,738.96","8,002.47","8,216.92","7,707.80","3.62M","-2.99%"
"10/01/2019","7,977.12","7,785.24","8,020.77","7,514.05","2.62M","2.55%"
"09/01/2019","7,779.07","7,954.15","7,996.90","7,775.51","2.33M","-2.51%"
"08/01/2019","7,979.66","8,035.75","8,129.93","7,622.27","3.16M","-0.82%"
"07/01/2019","8,045.80","8,011.47","8,419.59","7,993.66","2.29M","0.58%"
"06/01/2019","7,999.71","7,963.33","8,139.74","7,875.50","2.01M","0.37%"
"05/01/2019","7,970.02","7,952.52","8,077.51","7,475.16","2.92M","0.22%"
"04/01/2019","7,952.72","7,923.16","8,008.53","7,769.72","2.14M","0.40%"
