"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","2,568,770.50","2,620,770.00","2,707,245.75","2,568,523.75","","-2.78%"
"02/01/2026","2,642,105.50","3,199,554.00","3,203,209.00","2,635,350.25","","-17.42%"
"01/01/2026","3,199,554.00","3,051,616.75","3,296,502.00","2,860,060.50","","4.85%"
"12/01/2025","3,051,616.75","3,026,469.50","3,195,427.75","2,934,955.75","","0.83%"
"11/01/2025","3,026,469.50","3,002,607.25","3,181,450.00","2,729,588.50","","0.79%"
"10/01/2025","3,002,607.25","1,773,439.63","3,024,830.75","1,740,362.38","","69.31%"
"09/01/2025","1,773,439.63","1,984,845.00","2,030,490.25","1,635,451.38","","-10.65%"
"08/01/2025","1,984,845.00","2,319,510.50","2,437,282.50","1,962,870.75","","-14.43%"
"07/01/2025","2,319,510.50","1,994,824.50","2,349,559.75","1,982,934.38","","16.28%"
"06/01/2025","1,994,824.50","2,278,991.50","2,283,472.75","1,953,993.13","","-12.47%"
"05/01/2025","2,278,991.50","2,100,843.75","2,409,196.50","2,028,065.63","","8.48%"
"04/01/2025","2,100,843.75","2,338,760.75","2,389,697.00","1,889,591.38","","-10.17%"
"03/01/2025","2,338,760.75","2,205,800.50","2,512,180.25","2,105,937.00","","6.03%"
"02/01/2025","2,205,800.50","2,564,659.00","2,564,659.00","2,149,789.75","","-13.99%"
"01/01/2025","2,564,659.00","2,533,634.75","2,867,774.50","2,374,518.25","0.02K","1.22%"
"12/01/2024","2,533,634.75","2,258,295.00","2,680,484.50","2,159,529.75","0.00K","12.19%"
"11/01/2024","2,258,295.00","1,851,671.63","2,268,988.75","1,851,671.63","","22.15%"
"10/01/2024","1,848,744.25","1,697,400.63","1,902,987.13","1,681,684.88","","8.92%"
"09/01/2024","1,697,400.63","1,717,564.50","1,856,001.50","1,677,387.63","","-1.17%"
"08/01/2024","1,717,564.50","1,481,853.50","1,745,637.63","1,339,085.88","","15.91%"
"07/01/2024","1,481,853.50","1,611,295.13","1,722,885.75","1,409,671.13","","-8.03%"
"06/01/2024","1,611,295.13","1,651,417.38","1,665,774.38","1,499,905.13","","-2.43%"
"05/01/2024","1,651,417.38","1,323,585.88","1,665,355.75","1,323,585.88","","24.77%"
"04/01/2024","1,323,585.88","1,213,484.63","1,360,232.00","1,167,717.13","","9.07%"
"03/01/2024","1,213,484.63","1,014,711.94","1,256,077.00","955,099.06","","19.59%"
"02/01/2024","1,014,711.94","1,260,562.63","1,334,440.13","997,493.44","","-19.50%"
"01/01/2024","1,260,562.63","929,704.19","1,297,640.88","915,347.00","","35.59%"
"12/01/2023","929,704.19","822,336.88","1,084,545.00","812,163.50","","14.30%"
"11/01/2023","813,393.88","579,150.00","936,059.13","578,411.69","","40.45%"
"10/01/2023","579,150.00","562,568.50","834,791.38","550,260.31","","2.95%"
"09/01/2023","562,568.50","653,602.88","664,108.69","508,068.19","","-13.93%"
"08/01/2023","653,602.88","457,137.81","690,781.69","438,925.09","","42.98%"
"07/01/2023","457,137.81","426,281.00","479,112.00","414,100.59","","7.24%"
"06/01/2023","426,281.00","342,078.50","442,749.41","342,078.50","","24.61%"
"05/01/2023","342,078.50","297,960.00","349,024.50","281,361.31","","14.81%"
"04/01/2023","297,960.00","245,716.20","307,057.00","245,716.20","","21.26%"
"03/01/2023","245,716.20","247,459.30","255,437.00","207,676.41","","-0.70%"
"02/01/2023","247,459.28","253,548.48","262,802.16","235,721.70","","-2.40%"
"01/01/2023","253,548.48","202,085.13","267,244.19","197,183.02","","25.47%"
"12/01/2022","202,085.13","168,525.30","205,953.38","162,735.66","","19.91%"
"11/01/2022","168,525.30","149,938.31","170,311.41","142,796.56","","12.40%"
"10/01/2022","149,938.31","139,137.20","150,238.84","135,631.72","","7.78%"
"09/01/2022","139,115.09","136,240.97","150,971.41","134,328.98","","2.11%"
"08/01/2022","136,240.97","122,551.36","145,859.42","117,144.50","","11.19%"
"07/01/2022","122,528.27","88,449.89","130,650.78","87,005.58","","38.53%"
"06/01/2022","88,449.89","92,288.03","92,579.51","81,977.46","","-4.16%"
"05/01/2022","92,288.03","88,250.97","94,319.11","81,962.83","","4.57%"
"04/01/2022","88,250.97","90,979.02","94,374.34","88,176.23","","-2.98%"
"03/01/2022","90,959.59","87,969.87","93,313.21","83,570.00","","3.40%"
"02/01/2022","87,969.87","90,907.51","92,732.37","86,994.38","","-3.23%"
"01/01/2022","90,907.51","83,500.11","91,012.35","80,403.36","","8.87%"
"12/01/2021","83,500.11","79,315.79","89,836.50","79,315.79","","5.28%"
"11/01/2021","79,315.79","83,560.96","97,024.42","77,706.80","","-5.08%"
"10/01/2021","83,560.96","77,363.64","90,576.75","76,756.98","","8.01%"
"09/01/2021","77,363.64","76,451.68","83,923.24","73,488.16","","1.19%"
"08/01/2021","76,451.68","66,005.29","76,876.65","64,531.09","","15.83%"
"07/01/2021","66,005.29","62,371.95","67,595.39","61,174.82","","5.83%"
"06/01/2021","62,371.95","59,268.94","69,688.41","59,268.94","","5.24%"
"05/01/2021","59,268.94","49,056.10","59,565.29","48,269.50","","20.82%"
"04/01/2021","49,056.10","47,982.39","50,581.03","46,507.18","","2.24%"
"03/01/2021","47,982.39","48,432.27","50,798.00","46,011.61","","-0.93%"
"02/01/2021","48,432.27","48,257.14","53,731.74","47,381.61","","0.36%"
"01/01/2021","48,257.14","51,226.49","52,692.20","47,388.14","","-5.80%"
"12/01/2020","51,226.49","54,572.54","55,934.19","49,566.79","","-6.13%"
"11/01/2020","54,572.54","45,290.02","55,881.87","45,290.02","","20.50%"
"10/01/2020","45,290.02","41,324.07","52,590.53","41,324.07","","9.77%"
"09/01/2020","41,260.86","46,835.42","47,445.31","39,501.22","","-11.90%"
"08/01/2020","46,835.42","49,253.62","56,114.04","44,195.11","","-4.91%"
"07/01/2020","49,253.62","38,686.69","50,091.35","38,686.69","","27.31%"
"06/01/2020","38,686.69","37,824.73","48,988.82","37,824.73","","2.28%"
"05/01/2020","37,824.73","32,742.84","42,026.68","31,215.73","","15.52%"
"04/01/2020","32,742.84","24,384.24","33,977.20","24,384.24","","34.28%"
"03/01/2020","24,384.24","34,973.18","37,513.90","21,738.62","","-30.28%"
"02/01/2020","34,973.18","40,105.04","42,694.72","34,051.73","","-12.80%"
"01/01/2020","40,105.04","41,671.41","43,191.06","38,761.21","","-3.76%"
"12/01/2019","41,671.41","34,500.21","43,368.92","32,587.88","","20.79%"
"11/01/2019","34,500.21","35,023.97","37,646.74","30,434.39","","-1.41%"
"10/01/2019","34,995.20","29,066.96","36,775.00","29,066.96","","20.40%"
"09/01/2019","29,066.96","24,608.56","31,558.15","22,484.40","","18.12%"
"08/01/2019","24,608.56","42,057.77","44,470.76","23,861.87","","-41.49%"
"07/01/2019","42,057.77","41,796.36","43,292.62","38,548.23","","0.63%"
"06/01/2019","41,796.36","33,949.53","41,835.48","33,278.73","","23.11%"
"05/01/2019","33,949.53","29,571.36","35,815.35","29,571.36","","14.81%"
"04/01/2019","29,571.36","33,466.03","33,876.13","28,309.75","","-11.64%"
"03/01/2019","33,466.03","34,485.80","35,647.67","31,709.55","","-2.96%"
"02/01/2019","34,485.80","36,326.92","37,874.94","34,289.51","","-5.07%"
"01/01/2019","36,326.92","30,292.58","36,491.61","29,994.40","","19.92%"
