"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","8,525.70","9,198.60","9,200.90","8,262.40","17.39B","-7.32%"
"02/01/2026","9,198.60","8,869.10","9,202.90","8,683.70","15.23B","3.72%"
"01/01/2026","8,869.10","8,714.30","8,978.50","8,675.60","12.19B","1.78%"
"12/01/2025","8,714.30","8,614.10","8,805.50","8,547.10","13.14B","1.16%"
"11/01/2025","8,614.10","8,881.90","8,894.80","8,383.20","13.45B","-3.02%"
"10/01/2025","8,881.90","8,848.80","9,115.20","8,809.00","15.56B","0.37%"
"09/01/2025","8,848.80","8,973.10","8,973.10","8,731.30","17.24B","-1.39%"
"08/01/2025","8,973.10","8,742.80","9,054.50","8,630.90","15.15B","2.63%"
"07/01/2025","8,742.80","8,542.30","8,776.40","8,531.40","14.68B","2.35%"
"06/01/2025","8,542.30","8,434.70","8,639.10","8,401.10","15.62B","1.28%"
"05/01/2025","8,434.70","8,126.20","8,453.00","8,109.70","16.64B","3.80%"
"04/01/2025","8,126.20","7,843.40","8,126.20","7,169.20","15.77B","3.61%"
"03/01/2025","7,843.40","8,172.40","8,251.90","7,733.50","17.22B","-4.03%"
"02/01/2025","8,172.40","8,532.30","8,615.20","8,155.50","14.75B","-4.22%"
"01/01/2025","8,532.30","8,159.10","8,566.90","8,146.60","10.74B","4.57%"
"12/01/2024","8,159.10","8,436.20","8,514.50","8,051.20","11.15B","-3.28%"
"11/01/2024","8,436.20","8,160.00","8,477.10","8,063.20","12.16B","3.38%"
"10/01/2024","8,160.00","8,269.80","8,384.50","8,107.60","13.31B","-1.33%"
"09/01/2024","8,269.80","8,091.80","8,285.70","7,918.90","15.72B","2.20%"
"08/01/2024","8,091.90","8,092.30","8,148.70","7,628.10","15.03B","0.00%"
"07/01/2024","8,092.30","7,767.50","8,092.30","7,702.50","12.79B","4.18%"
"06/01/2024","7,767.50","7,701.70","7,861.80","7,654.20","12.75B","0.85%"
"05/01/2024","7,701.70","7,664.10","7,900.20","7,556.50","13.66B","0.49%"
"04/01/2024","7,664.10","7,896.90","7,910.50","7,492.60","11.63B","-2.95%"
"03/01/2024","7,896.90","7,698.70","7,901.20","7,591.40","14.58B","2.57%"
"02/01/2024","7,698.70","7,680.70","7,703.80","7,489.40","19.21B","0.23%"
"01/01/2024","7,680.70","7,590.80","7,682.30","7,322.00","12.31B","1.18%"
"12/01/2023","7,590.80","7,087.30","7,614.30","7,041.10","14.36B","7.10%"
"11/01/2023","7,087.30","6,780.70","7,125.60","6,780.70","14.73B","4.52%"
"10/01/2023","6,780.70","7,048.60","7,112.70","6,751.30","15.75B","-3.80%"
"09/01/2023","7,048.60","7,305.30","7,340.90","6,957.20","15.68B","-3.51%"
"08/01/2023","7,305.30","7,410.40","7,470.10","7,090.00","16.23B","-1.42%"
"07/01/2023","7,410.40","7,203.30","7,472.30","6,998.10","12.50B","2.88%"
"06/01/2023","7,203.30","7,091.30","7,368.40","7,054.80","14.95B","1.58%"
"05/01/2023","7,091.30","7,309.20","7,368.00","7,091.30","15.28B","-2.98%"
"04/01/2023","7,309.20","7,177.80","7,391.20","7,177.80","11.43B","1.83%"
"03/01/2023","7,177.80","7,258.40","7,370.30","6,895.00","18.10B","-1.11%"
"02/01/2023","7,258.40","7,476.70","7,567.70","7,193.40","14.25B","-2.92%"
"01/01/2023","7,476.70","7,038.70","7,516.80","6,905.30","11.92B","6.22%"
"12/01/2022","7,038.70","7,284.20","7,375.20","6,993.80","13.71B","-3.37%"
"11/01/2022","7,284.20","6,863.50","7,293.70","6,823.00","17.36B","6.13%"
"10/01/2022","6,863.50","6,474.20","6,873.80","6,411.90","16.45B","6.01%"
"09/01/2022","6,474.20","6,986.80","7,015.20","6,433.10","18.13B","-7.34%"
"08/01/2022","6,986.80","6,945.20","7,137.50","6,918.20","16.23B","0.60%"
"07/01/2022","6,945.20","6,568.10","6,973.60","6,537.20","14.07B","5.74%"
"06/01/2022","6,568.10","7,211.20","7,254.60","6,407.00","18.29B","-8.92%"
"05/01/2022","7,211.20","7,435.00","7,435.00","6,930.20","15.92B","-3.01%"
"04/01/2022","7,435.00","7,499.60","7,624.80","7,233.30","12.02B","-0.86%"
"03/01/2022","7,499.60","7,049.10","7,556.60","6,968.90","18.82B","6.39%"
"02/01/2022","7,049.10","6,971.60","7,356.80","6,945.70","15.93B","1.11%"
"01/01/2022","6,971.60","7,444.60","7,620.20","6,758.20","14.03B","-6.35%"
"12/01/2021","7,444.60","7,256.00","7,520.60","7,168.90","11.90B","2.60%"
"11/01/2021","7,256.00","7,323.70","7,479.10","7,180.30","13.54B","-0.92%"
"10/01/2021","7,323.70","7,332.20","7,473.90","7,157.90","13.28B","-0.12%"
"09/01/2021","7,332.20","7,534.90","7,539.00","7,145.70","16.50B","-2.69%"
"08/01/2021","7,534.90","7,415.90","7,632.80","7,414.90","14.00B","1.92%"
"07/01/2021","7,392.60","7,313.00","7,447.90","7,205.00","12.60B","1.09%"
"06/01/2021","7,313.00","7,161.60","7,406.20","7,117.50","13.07B","2.11%"
"05/01/2021","7,161.60","7,025.80","7,203.30","6,917.30","12.44B","1.93%"
"04/01/2021","7,025.80","6,790.70","7,096.90","6,783.30","11.14B","3.46%"
"03/01/2021","6,790.70","6,673.30","6,862.60","6,648.60","14.60B","1.76%"
"02/01/2021","6,673.30","6,607.40","6,938.00","6,517.20","12.93B","1.00%"
"01/01/2021","6,607.40","6,587.10","6,832.60","6,585.30","10.49B","0.31%"
"12/01/2020","6,587.10","6,517.80","6,765.70","6,511.40","12.85B","1.06%"
"11/01/2020","6,517.80","5,927.60","6,713.30","5,904.10","15.41B","9.96%"
"10/01/2020","5,927.60","5,815.90","6,248.30","5,779.60","13.87B","1.92%"
"09/01/2020","5,815.90","6,060.50","6,130.80","5,763.20","17.11B","-4.04%"
"08/01/2020","6,060.50","5,927.80","6,199.20","5,860.70","16.30B","2.24%"
"07/01/2020","5,927.80","5,897.90","6,160.60","5,892.80","15.30B","0.51%"
"06/01/2020","5,897.90","5,755.70","6,198.60","5,705.40","22.21B","2.47%"
"05/01/2020","5,755.70","5,522.40","5,922.00","5,169.60","19.85B","4.22%"
"04/01/2020","5,522.40","5,076.80","5,563.60","5,022.40","19.76B","8.78%"
"03/01/2020","5,076.80","6,438.90","6,524.30","4,402.50","32.86B","-21.18%"
"02/01/2020","6,441.20","7,017.20","7,197.20","6,426.80","15.83B","-8.21%"
"01/01/2020","7,017.20","6,684.10","7,144.90","6,669.20","10.88B","4.98%"
"12/01/2019","6,684.10","6,846.00","6,890.00","6,590.10","11.09B","-2.36%"
"11/01/2019","6,846.00","6,663.40","6,893.70","6,634.70","12.65B","2.74%"
"10/01/2019","6,663.40","6,688.30","6,766.20","6,475.40","13.04B","-0.37%"
"09/01/2019","6,688.30","6,604.20","6,775.60","6,503.90","14.70B","1.27%"
"08/01/2019","6,604.20","6,812.60","6,812.60","6,396.00","15.48B","-3.06%"
"07/01/2019","6,812.60","6,618.80","6,875.50","6,618.80","13.38B","2.93%"
"06/01/2019","6,618.80","6,396.90","6,691.50","6,315.60","13.58B","3.47%"
"05/01/2019","6,396.90","6,325.50","6,510.90","6,203.10","13.87B","1.13%"
"04/01/2019","6,325.50","6,180.70","6,390.50","6,169.80","10.47B","2.34%"
"03/01/2019","6,180.70","6,169.00","6,270.90","6,096.80","14.42B","0.19%"
"02/01/2019","6,169.00","5,864.70","6,191.10","5,848.90","13.71B","5.19%"
"01/01/2019","5,864.70","5,646.40","5,915.20","5,552.00","10.83B","3.87%"
