"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","12,552.20","13,800.72","13,845.74","12,053.51","526.40M","-10.43%"
"02/01/2026","14,014.30","13,183.32","14,063.53","13,183.05","526.66M","6.26%"
"01/01/2026","13,188.26","13,194.00","13,528.67","12,941.92","472.00M","-0.60%"
"12/01/2025","13,267.48","12,804.37","13,288.66","12,804.37","444.91M","3.38%"
"11/01/2025","12,833.96","12,248.16","12,854.28","12,100.51","433.77M","4.90%"
"10/01/2025","12,234.50","12,193.90","12,726.22","12,189.42","511.85M","1.03%"
"09/01/2025","12,109.42","12,200.03","12,441.10","11,867.89","474.54M","-0.64%"
"08/01/2025","12,187.58","11,619.20","12,323.96","11,612.00","417.26M","2.97%"
"07/01/2025","11,836.00","11,955.47","12,136.68","11,823.21","512.31M","-0.72%"
"06/01/2025","11,921.46","12,218.40","12,398.08","11,813.08","502.04M","-2.50%"
"05/01/2025","12,227.08","12,175.97","12,461.34","12,020.31","491.85M","0.91%"
"04/01/2025","12,116.98","12,724.96","12,754.44","10,699.66","719.49M","-3.82%"
"03/01/2025","12,598.12","13,032.86","13,199.05","12,585.99","673.82M","-3.12%"
"02/01/2025","13,004.48","12,411.56","13,100.22","12,409.82","581.42M","3.23%"
"01/01/2025","12,597.09","11,642.63","12,708.45","11,570.13","524.13M","8.59%"
"12/01/2024","11,600.90","11,725.02","11,875.31","11,248.40","451.51M","-1.39%"
"11/01/2024","11,764.20","11,843.05","12,122.20","11,428.87","513.98M","-0.24%"
"10/01/2024","11,792.92","12,198.41","12,355.26","11,745.30","477.86M","-3.09%"
"09/01/2024","12,168.87","12,421.80","12,459.82","11,877.88","504.04M","-2.15%"
"08/01/2024","12,436.59","12,047.34","12,483.57","11,441.91","28.92M","0.97%"
"07/01/2024","12,317.44","12,106.94","12,434.03","11,920.09","448.44M","2.70%"
"06/01/2024","11,993.83","12,065.32","12,295.18","11,955.08","480.99M","-0.06%"
"05/01/2024","12,000.86","11,286.71","12,050.29","11,188.72","539.69M","6.57%"
"04/01/2024","11,260.91","11,730.43","11,762.56","11,127.42","537.99M","-4.00%"
"03/01/2024","11,730.43","11,486.72","11,799.91","11,424.79","592.55M","2.55%"
"02/01/2024","11,438.86","11,264.59","11,524.36","11,064.90","521.80M","0.93%"
